tag_id,tag_name,tag_description
33,Strategy Game,A [url=http://en.wikipedia.org/wiki/Strategy_game]strategy game[/url] is a type of game that challenges the player to think critically in order to achieve victory.\n\nThis VN features gameplay sequences from this genre.
34,Simulation Game,"A [url=http://en.wikipedia.org/wiki/Simulation_video_game]simulation game[/url] attempts to recreate aspects of reality and puts the player in control.\n\nThis VN features gameplay sequences from this genre.\n\nSimilar to RPG games, simulation games (SLG) usually have stats representing certain values of your character. And to achieve certain goals you try to build up certain stats. On RPG's most of these stats are combat related, while on SLG's they are mostly aspects of our daily lives.\n\nIf all the stats are related to dating and attractiveness to hero(in)es, you're looking at a [url=/g39]Dating Simulation[/url] instead. If the stats do not belong to the protagonist but to a separate character, you're most likely looking at a [url=/g40]Raising Simulation[/url]."
35,RPG,An [url=http://en.wikipedia.org/wiki/Role-playing_video_game]RPG[/url] is a game in which you assume the role of a character introduced to a vast world to be explored. Games typically place emphasis on gaining equipment and experience points through fighting enemies in order to advance through different levels.\n\nThis VN features gameplay sequences from this genre.
36,Combat with Firearms,"These games have battles that are resolved by using (personal) [url=http://en.wikipedia.org/wiki/Firearms]firearms[/url] - whether pistols, flintlocks or modern assault rifles. Normally crew-served weapons also count as personal weapons if used by a single person (so if someone is dual wielding [url=http://en.wikipedia.org/wiki/M1918_Browning_Automatic_Rifle]BARs[/url]... go ahead)"
37,Fighting Game,This game is either a full [url=http://en.wikipedia.org/wiki/Fighting_game]fighting game[/url] or has has a fighting game as a minigame.
38,Shooter Game,A [url=http://en.wikipedia.org/wiki/Shooting_game]shooter game[/url] is a type of game that challenges the player's speed and reaction time to succeed. This is mostly done by player directing an avatar and shooting at objects in the game.\n\nThis VN features gameplay sequences from this genre.
39,Dating Simulation,"A [url=http://en.wikipedia.org/wiki/Dating_sim]dating sim[/url] is a type of simulation with romance focus.\n\nThis VN features gameplay sequences from this genre.\n\nIn general, the simulation aspect means that you're setting schedules for the protagonist, who may have stats such as Appearance, Fitness, Studying, etc., and these stats affect which heroes / heroines you have a chance with.\n\nWhile VN's with dating sim elements are allowed in the database, dating sims with brief VN elements are not."
40,Raising Simulation,"A [url=http://en.wikipedia.org/wiki/Raising_sim]raising sim[/url] is a type of simulation where the protagonist trains or rears one or more other characters to achieve a certain goal(s), from passing an exam to becoming a princess...\n\nIt is common that the character(s) raised are given numerical stats such as Appearance, Fitness, Studying that represent their progress. The player in a game of this kind is responsible for setting their schedule.\n\nThis VN features gameplay sequences from this genre.\n\nWhile VN's with raising sim elements are allowed in the database, raising sims with brief VN elements are not."
41,Turn Based Strategy Game,This game has some elements from the [url=http://en.wikipedia.org/wiki/Turn_Based_Strategy]turn based strategy[/url] games genre.
42,Real Time Strategy Game,This game has some elements from the [url=http://en.wikipedia.org/wiki/Real_Time_Strategy]real time strategy[/url] games genre.
43,NVL,"In these games, the box with the text occupies all or most of the screen. The box may have a border, like in [url=http://s.vndb.org/sf/08/808.jpg]Fate/stay night[/url], or no border, like in [url=http://s.vndb.org/sf/35/3135.jpg]Kira☆Kira[/url].\n\nMany games use a full-screen textbox to display backlog text, and a part-screen textbox to display the current text. That does NOT count for this tag.\n\nIf a game uses both full-screen and [url=http://vndb.org/g32]part-screen textboxes[/url], apply both tags to it."
44,Pistol Combat,Pistols. Handguns. These games use them.
45,Corporations,A [url=http://en.wikipedia.org/wiki/Corporation]corporation[/url] plays an important part in the story.
46,Military,"A military (or to some degree, paramilitary) organisation plays important role in the visual novel.\n\nThis might be the normal military of a country, Special Forces, a PMC or something outlandish like the Teikoku Gekidan or the Galaxy Angels."
47,School,Use this tag only if you can not identify what kind of a school that the game uses. Otherwise use of the child tags under this one.
48,High School,Some part of the game takes place in a [url=http://en.wikipedia.org/wiki/High_school]high school[/url].
49,University,Some part of the game takes place in a [url=http://en.wikipedia.org/wiki/University]university[/url].
50,Shinobi,[url=http://en.wikipedia.org/wiki/Ninja]Ninja[/url] clans or similar organizations of shinobi are important parts of this story.
51,Rifle Combat,Games with fights that involve the use of non-automatic rifles.\n\n(Full) Automatic weapons have a different tag.
53,Space,"The game takes place in the vacuum of space between celestial bodies or on planets (moons, asteroids...) besides Terra. For example, this category can be used to define games where the characters may inhabit spaceships that journey across the universe."
54,Mythical Setting,"These tags are for games that feature scenes passing on locations taken directly from these myths (or locations inspired by those), not the games that has elements from these myths."
55,Cthulhu Mythos,[url=http://en.wikipedia.org/wiki/Cthulhu_Mythos]Cthulhu Mythos[/url] strongly influences the setting and events in this VN.
56,British Mythology,[url=http://en.wikipedia.org/wiki/Matter_of_Britain]British mythology[/url] strongly influences the setting and events in this VN.
57,Norse Mythology,[url=http://en.wikipedia.org/wiki/Nordic_mythology]Norse mythology[/url] strongly influences the setting and events in this VN.
58,Greek Mythology,[url=http://en.wikipedia.org/wiki/Greek_mythology]Greek mythology[/url] strongly influences the setting and events in this VN.
59,Combat with Automatic Firearms,"If SMGs, assault rifles and machine guns are the solution to the problem, then the game deserves this tag."
60,Modern Day Earth,"The visual novel is set on modern day [url=http://en.wikipedia.org/wiki/Earth]Earth[/url].\nNote: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
61,Middle Ages Earth,
62,Future Earth,This visual novel is set on a fictional rendition of future [url=http://en.wikipedia.org/wiki/Earth]Earth[/url].
63,Combat with Bladed Weapons,"Knives, swords, Naginata... if battles in the game are resolved with such implements, it should be tagged with this (or one of the more specific children).\nLightsabers and the like count as bladed weapons(as long they still cut/pierce)."
64,Yamato Nadeshiko Heroine,"At least one of the heroines  is a [url=http://en.wikipedia.org/wiki/Yamato_Nadeshiko]Yamato Nadeshiko[/url].\n\nYamato Nadeshiko is a Japanese term meaning the ""personification of an idealized Japanese woman"", or ""the epitome of pure, feminine beauty""."
65,Fighting Heroine,"At least one of the heroines of these games is a [url=http://en.wikipedia.org/wiki/Warrior]warrior[/url]. She may be a professional soldier, a self-trained martial artist, a miko with a powerful charms and a sword or maybe a fantasy being. But she can definitely handle herself in a fight.\n\nA game doesn't need to have scenes of the heroine actually fighting to have this tag. This is more about the characters demeanor than the action scenes."
66,Sword Combat,"These games have battles with swords - whether with European longswords, nihontou or fantasy BFS matters not."
67,Onna Bugeisha Heroine,"Onna Bugeisha - Female Weaponmaster\nA heroine archetype - usually wielding a Nihontou or Naginata (in a few cases a bow), the use of which she has trained with since she was a child (in a style or another).\nMight carry her weapon with her all the time, and have a certain mission (guarda certain holy place, vanquish demons, protect a specific person...).\nThey almost always have a strong sense of honour and justice. \nMore often than not will have long, black hair and use dated words."
68,Post Apocalyptic Earth,"A considerable part of this game is set on a [url=http://en.wikipedia.org/wiki/Apocalyptic_and_post-apocalyptic_fiction]post apocalyptic setting[/url], if not all."
69,Naginata Combat,Naginata(長刀) are basically swords mounted at the end of a stick. They are used traditionally by women (of the warrior class) to defend their homes. A rather deadly and elegant weapon.
70,Combat with Spears,"Long sticks with a blade at the point, usually used to pierce the enemy.\nNot to be confused with the Naginata, which is primarily used for slashing attacks.\nPikes and similar weapons belong here as well."
71,Axe Combat,The favorite weapon of your neighbourhood viking.
72,Knife/Dagger Combat,Shorter blades used primarily for stabbing.
73,Combat with Blunt Weapons,"Combat in this game involves blunt weapons, like staves or clubs."
74,Dual Wielding Pistols,"Games that has people using a pistol in each hand, possibly as a character's style."
75,Staff Combat,"Quarterstaves and similar weapons apply.\nNot to be confused with clubs, who are usually one-handed and have a thicker end than center."
76,Combat with Clubs,"Combat with clubs and similar unrefined, possibly improvised weaponry.\nNo to be confused with staves, who are usually longer and wielded with two hands (and which tend to be way more elegant)."
77,Combat Archery,"In these game, bows (and similar projectile weapons, like crossbows and even slings, but not guns, arquebuses or similar) are used to actually harm and/or kill someone - if you just shoot at rice paddings, it doesn't belong here."
78,Combat with Exotic Weapons,"The protagonist uses a chain? The second heroine uses darts? No matter how hard you look, you can't find any appropriate name for the weapon?\nUse this tag.\nDo not use it for rare examples of common weapons - we don't care if only 20 ever were made, it's still a handgun ;-)"
79,Unarmed Combat,"These games involved unarmed combat - whether it's karate, secret martial arts or just wrestling and punching the other guy in the face harder than he punches you in yours."
80,Magic/ESP Combat,"If the main mode of combat involves throwing ""energy"" at the enemy, this applies."
81,Vehicular Combat,"This game has action and combat scenes involving people riding something to fight. Tanks, helicopters, airplanes, mecha and even normal cars..."
82,Lesbian Sex,There are sex scenes involving two (or possibly more) females.
83,Male on Male Sex,There are sex scenes involving two (or possibly more) males.
84,Rape,"This game contains scenes of [url=http://en.wikipedia.org/wiki/Rape]rape[/url]. \n\nPlease use the specific child tag to mark the rape scenes in the game, so users that want to avoid/seek such content can make use of the tagging feature fully."
85,Only Avoidable Rape Scenes,"All [url=http://en.wikipedia.org/wiki/Rape]rape[/url] scenes in the game can be avoided - they're in bad ends (that you do not need to see to get the good ends), or can simply be avoided by taking the right choices."
86,Incest,These games contain sex scenes that could be considered [url=http://en.wikipedia.org/wiki/Incest]incestious[/url]. Whether the involved characters are actually blood-related matters not.
88,Blood-related Incest,This eroge contains incestual eroscenes with characters that are blood-related.
89,Brother/Sister Incest,These games contain sexual scenes between a brother and his sister. They may or may not be blood-related.
90,Sister/Sister Incest,These games contain sexual scenes between two (or more) sisters. They may or may not be blood-related.
91,Blood-related Sister/Sister Incest,These games contain sexual scenes between blood-related sisters.
92,Blood-related Brother/Sister Incest,These games contain sexual scenes between a blood-related brother and sister.
93,Non-blood-related Incest,This eroge contains sexual scenes involving characters which are related but are not blood-related (adopted siblings and similar).
94,Non-blood-related Sister/Sister Incest,These games contain sexual scenes between non-blood-related sisters.
95,Non-blood-related Brother/Sister Incest,These games contain sexual scenes between a non-blood-related brother and sister.
96,Romance,Romance plays a large role in these games.
97,Girl x Girl Romance,"This game contains romance between girls.\nPlease note that this does not necessarily mean that there are any sexual scenes, for that use the [url=/g82]Lesbian Sex[/url] tag."
98,Boy x Boy Romance,"This game contains romance between boys.\nPlease note that this does not necessarily mean that there are any sexual scenes, for that use the [url=/g83]Male on Male Sex[/url] tag."
99,Incest Romance,These games have romance that could be called [url=http://en.wikipedia.org/wiki/Incest]incestual[/url] (whether the involved parties are blood-related or not is irrelevant).
100,Brother/Sister Romance,These games contain romance between a brother and sister.
101,Sister/Sister Romance,These games contain romance between two sisters.
102,Space Station,(Significant portions) of the game play on a space station.
103,Spaceship,"Significant portions of the game is set on [url=http://en.wikipedia.org/wiki/Spacecraft]spaceships[/url]. A  spaceship is a vehicle, vessel or machine designed to fly in outer space."
104,Comedy,Comedy is an important element of these games.
105,Science Fiction,Science Fiction (Hard or Soft) is an important Element of these games.
106,Hard Science Fiction,"These games have [url=http://en.wikipedia.org/wiki/Hard_Science_Fiction]Hard Science Fiction[/url] elements - less ""these work by the powers of <techword>"", more realistic elements.\n\n...do these even exist? Inquiring minds want to know."
107,Coodere Heroine,"These games have at least one coodere heroine.\n\nCooderes start as cold or impersonal towards the protagonist (and, possibly, everyone else) and then develop feelings for the protagonist as the story progresses.\n\nA variant of the traditional tsundere archetype."
108,Genius Heroine,"One or more of the heroines in a game with this tag is considered to be a genius.\n\nA [url=https://en.wikipedia.org/wiki/Genius]genius[/url] is a person who displays exceptional intellectual ability, creativity, or originality, typically to a degree that is associated with the achievement of an unprecedented leap of insight.\n\nMind you, being smart is not the same thing as being a genius, and high scholastic achievement alone is not the mark of a genius."
109,Hacker Heroine,At least one the heroines of this visual novel is a [url=http://en.wikipedia.org/wiki/Hacker_%28term%29]hacker[/url].
110,Imouto-type Heroine,These games have at least one imouto-type-heroine. An imouto-type heroine is a heroine who is not a sibling or a step-sibling to the protagonist but acts and gets treated like a little sister anyway.\n\nThis tag is used as a character trait of heroines. For actual sister connection please use the sister heroine tag.\n\nTL Note: Imouto means younger sister.
111,Oneesan-type Heroine,These games have at least one oneesan-type-character. An oneesan-type heroine is a heroine who is not a sibling or a step-sibling to the protagonist but acts and gets treated like a big sister anyway.\n\nThis tag is used as a character trait of heroines. For actual sister connection please use the sister heroine tag.\n\nTL Note: Oneesan means older sister.
112,Maid Heroine,These games have at least one heroine who is a [url=http://en.wikipedia.org/wiki/Maid]maid[/url].
113,Protagonist's Senpai as a Heroine,These games have at least one heroine who is a senpai of the protagonist. Some examples can be a senior at a work place or a student of a class some years above.
114,Royal Heroine,"These games have at least one heroine who is of noble blood - a queen or princess, or if it really defines her, of ""normal"" nobility.\n\nCurrent status is not important for these tags, such as a noble family that is no more wouldn't change the heroine's birthright.\n\nNot named ""Noble Heroine"" to avoid tons of heroines with a noble Heart but not blood being nominated.\n\nCheck the related [url=http://en.wikipedia.org/wiki/Royal_family]wikipedia[/url] entry for details."
115,Miko Heroine,"These games have at least one heroine who is a [url=http://en.wikipedia.org/wiki/Miko]miko[/url]. The traditional dress is common, but not strictly required."
116,Nun Heroine,These games have at least one heroine who is a [url=http://en.wikipedia.org/wiki/Nun]nun[/url]. Christianity not required.
117,Unavoidable Rape,"No matter what you do, you're gonna see [url=http://en.wikipedia.org/wiki/Rape]rape[/url] scenes if you play this eroge."
118,Knight Heroine,At least one heroine of these games is a [url=http://en.wikipedia.org/wiki/Knight]knight[/url].
119,Onmyouji Heroine,"A Heroine of this game is an [url=http://en.wikipedia.org/wiki/Onmyouji#Onmy.C5.8Dji]onmyouji[/url].\n\nOnmyouji were specialists in magic and divination. Their court responsibilities ranged from tasks such as keeping track of the calendar, to mystical duties such as divination and protection of the capital from evil spirits. They could divine auspicious or harmful influences in the earth, and were instrumental in the moving of capitals. It is said that an onmyouji could also summon and control shikigami."
120,Kunoichi Heroine,"At least one heroine of these games is a Kunoichi, a female [url=http://en.wikipedia.org/wiki/Ninja]ninja[/url]."
121,Soldier Heroine,At least one heroine of these games is (or was) a professional [url=http://en.wikipedia.org/wiki/Soldier]soldier[/url].
122,Officer Heroine,At least one heroine of this game is an officer (a soldier in a position of authority) in a military force.\n\nPeople taking temp roles in military does not belong to this tag. This is for professional officers.
123,Non-human Heroine,"At least one of the heroines might look [url=http://en.wikipedia.org/wiki/Human]human[/url], but she is way more than that..."
125,AI Heroine,These games have at least one heroine that is an [url=http://en.wikipedia.org/wiki/Artificial_intelligence]artificial intelligence[/url].
126,Robot Heroine,"This game has one or more [url=http://en.wikipedia.org/wiki/Robot]robot[/url] heroines.\n\nA robot is a mechanical or virtual intelligent agent that can perform tasks automatically or with guidance, typically by remote control. In practice, a robot is usually an electro-mechanical machine that is guided by computer and electronic programming. Robots can be autonomous, semi-autonomous or remotely controlled.\n\nContrast with [URL=http://vndb.org/g127]Cyborg Heroine[/URL], who has a (partially) artificial body that is controlled by a human brain."
127,Cyborg Heroine,"This visual novel has at least one heroine that is a [url=http://en.wikipedia.org/wiki/Cyborg]cyborg[/url] - that is, at least parts of her body is artificial.\n\nContrast with [url=http://vndb.org/g126]Robot Heroine[/url], in whose case the intelligence controlling the body is artificial as well."
128,Kitsune Heroine,At least one of the heroines is a [url=http://en.wikipedia.org/wiki/Kitsune]kitsune[/url] - a fox that can take human shape.
129,Goddess Heroine,At least one of the heroines is a [url=http://en.wikipedia.org/wiki/Goddess]goddess[/url].
130,Vampire Heroine,"A heroine in this game is a [url=http://en.wikipedia.org/wiki/Vampire]vampire[/url]. Bloodsucking is common, but not strictly required."
131,Sentient Weapon Heroine,"The heroine in question is actually a weapon. \nCommonly she is the human avatar of a holy sword, but other variants exist as well."
132,Book Heroine,(At least) one of the heroines is the humanoid avatar of a Book of Power.\n\nExamples include Al Azif of Demonbane.
133,Male Protagonist,These games have a male protagonist.
134,Female Protagonist,These games have a female protagonist.
135,Protagonist with Voice Acting,These games have a voiced protagonists. Use this tag if the protagonist is voiced almost all the time.
136,Multiple Protagonists,"These games have multiple protagonists, you might select one at the beginning or switch between them during play.\n\nSwitching to an another characters point of vision for brief amounts of time does not make that character the protagonist (aka the lead character of the game), please keep that in mind."
137,Adult Protagonist,The protagonist of this game is an [url=http://en.wikipedia.org/wiki/Adult]adult[/url].
138,Mage Heroine,These games have at least one heroine who is a mage.\n\nMages are people who use or practice magic derived from supernatural or occult sources.
139,Fighting Protagonist,"The protagonist of these games is a [url=http://en.wikipedia.org/wiki/Warrior]warrior[/url]. He may be a professional soldier, a self-trained martial artist, a cleric with a powerful charms and a sword or maybe a fantasy being. But he can definitely handle himself in a fight.\n\nA game doesn't need to have scenes of the protagonist actually fighting to have this tag. This is more about the characters demeanor than the action scenes."
140,Future,The game is set in a time beyond that of our own. Games may incorperate elements of future technologies or events yet-to-come.
141,Past,The game is set in a time before our own. Games may or may not adhere to historic fact.
142,Slice of Life Comedy,This tag is for slice of life stories used to help frame a comedic setting.
143,Modern Day,The game is set in the current day.
144,Strategic Card Battles,These games have strategic card battles.
145,Linear Plot,"A game with a linear plot has a static main storyline; it is not possible to get into traditional, substantially different routes.\n\nMany games in this category do not prompt the player with choices and simply tell the story as it is. This is, however, not a rule: it is also possible for a game to provide choices, but they have no lasting influence on the story itself. (e.g. Utawarerumono)"
146,Single Ending,These games have only a single ending.
147,Drama,
148,Multiple Endings,These games have several different endings.
149,Enforced Playing Order,These games have an enforced ending/route order. \n\nYou first have to get a specific ending or play a specific route to be able to access an another ending/route you want.\n\nThese conditions are absolute and there is no other way around them.
150,Family Life Comedy,"The comedy in this visual novel focuses around family life: the relationship between family members, the hijinks of living together, etc."
151,School Life Comedy,"This story is a comedy based on the lives of students. It can either be set on a school or somewhere else these students go to, such as a vacation."
152,Amnesia,A character in this game is suffering form [url=http://en.wikipedia.org/wiki/Amnesia]amnesia[/url]. Or memory loss plays an important part in the games story in some other way.
153,Murder Mystery,"This story has elements of [url=http://en.wikipedia.org/wiki/Murder_mystery]crime fiction[/url], mainly on the murder mystery front."
154,Loli Heroine,At least one of the heroines is a loli. She's either an underage girl or has the looks of one.\n\nHer age matters not one bit when it comes to her classification as a loli. This is only about appearance.\n\nRefer to the related [url=http://en.wikipedia.org/wiki/Lolicon]Wikipedia[/url] article for details.
155,Racing,"These games involve [url=http://en.wikipedia.org/wiki/Racing]racing[/url], whether on foot, with a vehicle, swimming or something completely different."
156,Lolicon,"This game features sexual scenes with loli characters and related lolicon themes.\n\nIn Japan, [url=http://en.wikipedia.org/wiki/Lolicon]lolicon[/url] describes an attraction to underage girls (whether prepubescent, pubescent, or post-pubescent).\n\nNote: Do NOT use this tag for lolicon characters, use the relevant character tags for that purpose."
157,Violence,"This game features some kind of [url=http://en.wikipedia.org/wiki/Violence]violence[/url].\n\nViolence is defined by the World Health Organization as the intentional use of physical force or power, threatened or actual, against oneself, another person, or against a group or community, that either results in or has a high likelihood of resulting in injury, death, psychological harm, maldevelopment or deprivation. This definition associates intentionality with the committing of the act itself, irrespective of the outcome it produces."
158,Graphic Violence,"This game features some [url=http://en.wikipedia.org/wiki/Graphic_violence]graphic violence[/url].\n\nGraphic violence is the depiction of especially vivid, brutal and realistic acts of violence in visual media such as literature, film, television, and video games. It may be real, simulated live action, or animated.\n\nThe ""graphic"" in graphic violence is a synonym for ""explicit"", referring to the clear and unabashed nature of the violence portrayed; this is what differentiates true graphic violence from lesser forms of violence in media productions, including ""cartoon"" violence and ""fantasy"" violence."
159,Descriptions of Violence,"This game features some scenes with descriptions of [url=http://en.wikipedia.org/wiki/Violence]violence[/url].\n\nThe violence in these said scenes are not presented visually, but only as text, hence the difference of this tag from the [url=http://vndb.org/g158]Graphic Violence[/url]. This presentation may be preferable by those who do not like seeing vivid images of violent nature."
160,Bloody Scenes,"This game features bloody scenes. The violent act or accident resulted in the spilling of blood is not required to be shown or described before, but considerable amount of blood showing on screen is."
161,Gore,This game has scenes of excessive violence and shows lots of blood as a result of this violence.
162,Guro,"This game has scenes of excessive violence and worse during the acts of sex.\n\nGuro is short for 'Erotic Grotesque'. It is a sub-genre of hentai featuring blood, gore, disfiguration, torture, and bloody amputees. Extreme examples of Guro include necrophilia, amputee sex, skull-fucking."
163,Bullying,The story of this visual novel involves [url=https://en.wikipedia.org/wiki/Bullying]bullying[/url].\n\nBullying is the use of force or coercion to abuse or intimidate others. The behaviour can be habitual and involve an imbalance of social or physical power.
164,Child Abuse,"This game has dramatic events related to [url=http://en.wikipedia.org/wiki/Child_Abuse]child abuse[/url].\n\nChild abuse is the physical, sexual, emotional mistreatment, or neglect of a child."
165,Drug Use,This story has elements of drug use.\n\nDon't use it on visual novels in which a character or characters is/are taking medically prescribed drugs.
166,Sengoku Period,This visual novel is set in (or at least based upon) the [url=http://en.wikipedia.org/wiki/Sengoku_period]Warring States Period of Japan[/url].
167,Health Issues,Problems regarding the [url=http://en.wikipedia.org/wiki/Health]health[/url] of its characters play an important role in this story.
168,Life and Death Drama,"A game that spends considerable amount of its time on discussing the preciousness of life, or has its characters constantly worrying about their or their loved ones survival, or a game that has a lot of people dying and this situation's effecting the psychologies of characters can have this tag."
169,Relationship Problems,This tag is for games that has people in a relationship and having problems keeping that together.
170,Suicide,"This story features the theme of [url=http://en.wikipedia.org/wiki/Suicide]suicide[/url].\n\nSuicide is the act of intentionally causing one's own death. Suicide is often committed out of despair, the cause of which can attributed to a mental disorder such as depression, bipolar disorder, schizophrenia, autism spectrum disorders, alcoholism, or drug abuse. Stress factors such as financial difficulties or troubles with interpersonal relationships often play a significant role."
172,Father Support Character,"This game has a father or a father-type-character as a support character, that that acts fatherly, giving advices and such, adding a family aspect to the game."
173,Mother Support Character,"This game has a mother or a mother-type support character, acting motherly and all, to add a family aspect to the game."
174,Brother Support Character,This game has a brother or a brother-like-character as a support character.
175,Mentor Support Character,"In this game there is a [url=http://en.wikipedia.org/wiki/Mentor]mentor[/url] support character that teaches the protagonist (or a heroine in rare cases) for the most of the story.\n\nIt can be a teacher or a teacher-like-character, always giving advices to the protagonist and being annoying. \nOr it has an awesome mentor that trained the main character to be kickass.\nOr it has that old town elder that shows up everywhere helping the protagonist out..."
176,Foolish Friend,One of the supporting characters is a moron. Usually this happens to be the best friend of the protagonist or at least as a close friend.
177,Teacher Heroine,At least one of the heroines is a [url=http://en.wikipedia.org/wiki/Teacher]teacher[/url].
178,Tentacle Rape,This visual novel features rape involving [url=http://en.wikipedia.org/wiki/Tentacle]tentacles[/url].
179,Group Sex,This game includes [url=http://en.wikipedia.org/wiki/Group_sex]group sex[/url] scenes.
180,Early Branching Plot,This games story branches out at early in the game. \n\nThis means you will get a choice that will carry the story to some branches that are quite different than the rest early in the game.
181,One True End,"Even though this game has multiple endings, one of them is considered to be the true ending to the story.\n\nSometimes this is evident from that ending being several times longer then others, sometimes it is the ending the sequel continues from and sometimes this is later disclosed by the creators."
182,Late Branching Plot,"This games story branches out at the late parts of the game.\n\nThis means for the most part of the game you'll be reading the same story, whichever route you aim for in the end. You'll get some scenes based on the heroine you aim for but %90 of the story will stay same until you reach the branching point. So treasure your first playthrough and pick the heroine you like best for it, because it won't be as unique the next time."
183,Bestiality,"This game involves sex with animals. \n\nFor details please check the relevant Wikipedia article: http://en.wikipedia.org/wiki/Zoophilia\n\nNote: Please only use this tag in case of real animals, for fantastic creatures use [url=http://vndb.org/g988]Sex with Monsters[/url] and its child tags."
184,Shotacon,These eroge have at least one scene with a character that could be described as a shota.
185,Ghost Heroine,A heroine in this game is a [url=http://en.wikipedia.org/wiki/Ghost]ghost[/url].
186,Ojousama Heroine,"One or more of the heroines in this game belong to the [url=http://en.wikipedia.org/wiki/Upper_class]upper class[/url].\n\nThe upper class is the social class composed of the wealthiest members of society, who also wield the greatest political power. The upper class is generally contained within the wealthiest 1-2% of the population, and is distinguished by immense wealth (in the form of estates) which is passed from generation to generation.\n\nThis tag is about the social status of a heroine and does not refer to her behavior*.\n\n*Having grown up accustomed to wealth and privilege, they have a tendency to flaunt their family wealth and status. As they are used to being waited upon by servants, they are more likely than not to order others not of the same social status as them around, even unintentionally."
187,Reverse Trap Heroine,At least one of the heroes of this visual novel is a girl whose physical features make her look like a boy to the point that she could be mistaken for one.\n[url=http://en.wikipedia.org/wiki/Cross_dressing]Cross-dressing[/url] is not required while often being the source of the confusion.
188,Otaku Heroine,"One of the heroines is an anime (cosplaying/manga/video games) Otaku. Meaning that she is obsessed with this hobby of hers, to a harmless degree though."
189,Idol Heroine,One of the heroines is an [url=http://en.wikipedia.org/wiki/Japanese_idol]idol[/url].
190,Airhead Heroine,"One of the heroines is an airhead.\n\nAirheads lack common sense, but have a happy and friendly attitude."
191,Heroine with Glasses,One or more of the heroines wear [url=http://en.wikipedia.org/wiki/Glasses]glasses[/url].
192,Yandere Heroine,"One or more of the heroines in this game displays [url=http://en.wikipedia.org/wiki/Yandere#Y]yandere[/url] behavior.\n\nYandere is a Japanese term for a person who is initially very loving and gentle to someone before their devotion becomes destructive in nature, often through violence."
193,Modern Tsundere Heroine,"One or more of the heroine is a modern tsundere.\n\nShe has one side that is utterly deredere (lovestruck) towards the protagonist (and possibly everyone else).\n\nShe has another one that is extremely hostile towards the protagonist (and/or everyone else) and which often will use extreme violence towards him.\n\nShe's switch between those two frequently. Expect 2-3 switches within one minute at worst.\n\nContrast with Classic Tsundere, Coodere and Yandere."
