vn_id,staff_id,position_id,note
5,185,7,"OP ""Little Busters"", First ""Alicemagic"", Second ED ""Ame Nochi Hare"", Third ED ""Song for friends"", insert song ""Haruka Kanata"", Refrain ED ""Little Busters -Little Jumper- ver."""
5,386,2,"Common route (Interactions with Natsume siblings, Masato and Kengo), Rin, Saya & Refrain"
5,386,3,"BGM, composition & lyrics of OP, Saya ED, insert song & Refrain ED"
5,386,6,Planning
5,429,5,"Kurugaya, Haruka, Kanata, A-chan & Komari"
5,429,1,
5,430,5,"Rin, Kud, Mio, Riki, Saya, Sasami, Kyousuke, Masato & Kengo"
5,430,1,
5,430,6,Colouring
5,769,7,"Saya ED ""Saya's Song"""
5,980,2,Mio's route
5,980,6,Second ED lyrics
5,981,2,"Common route (Interactions with other characters), Komari's, Kurugaya's and Sasami's routes"
5,981,6,Third ED lyrics
5,984,3,"BGM composition, arrangement, ED1 composition, arrangement"
5,985,3,"BGM composition, arrangement"
5,1432,3,BGM arrangement
5,2044,2,"Haruka's, Kud's & Kanata's routes"
5,2168,3,Little Busters! Ecstasy
5,2417,6,Special thanks
5,2767,3,"BGM composition, arrangement, insert song arrangement"
5,5585,6,OP movie
5,6058,3,
5,6067,6,Special thanks
5,6603,3,"OP, Refrain ED arrangement"
5,6604,3,"OP, Refrain ED arrangement"
5,6953,3,"First ED, Third ED arrangement"
5,6954,3,"Third ED arrangement, Ecstasy OP Remix"
5,7074,3,"BGM composition, arrangement, ED2 composition, arrangement"
5,9153,6,Executive producer
5,11302,3,"First ED, Third ED arrangement"
5,13200,3,Saya ED arrangement
5,13479,6,Programming
5,13481,6,Script
5,13482,6,PR
5,13583,6,Colouring
5,13586,6,"Colouring, BG"
5,13588,2,Assistant writer
5,13588,6,Progress management
5,13592,6,Colouring
5,13594,6,Colouring
7,2,2,
7,2,4,
7,2,6,"Planning, original concept, programming"
7,142,5,
7,142,1,
7,142,6,"Planning, development supervision, CG"
7,1661,6,Testing
7,4325,6,Special thanks
7,4750,6,Testing
7,14526,6,Testing
8,10485,2,
8,10485,1,
9,908,3,
9,1712,2,
9,1712,1,
9,1717,6,CG
9,1718,6,CG
9,1719,6,CG
9,1739,6,CG
9,10135,1,Original picture help
9,10146,6,Audio extraction / embedding
10,1014,2,
10,1014,3,Narcissu ~Setsumi's Theme~ lyrics
10,1014,4,
10,1432,3,
10,1780,1,
10,1781,3,
10,1782,3,
10,1783,3,
10,1785,3,"Narcissu ~Setsumi's Theme~ composition, arrangement"
10,1787,3,
10,2614,3,Insert song lyrics
10,2616,6,"System design, system graphics"
10,2757,3,
10,2775,1,"CG, backgrounds, assistant"
10,2777,6,Voice recording. editing
10,2902,3,"Insert song composition, arrangement"
10,3214,3,
10,3565,3,"Rumbling Viaduct 2007 and ""Scarlet"" composition"
10,5931,7,Narcissu ~Setsumi's Theme~
10,7482,6,Web-i-koma
10,9522,3,
10,10855,6,System scripting
10,12756,7,"Insert song ""I am here"""
11,2,2,
11,2,4,
11,2,6,"Planning, original concept, composition, scripting assistance"
11,4,2,Tobitate! (Vita)
11,142,5,
11,142,1,
11,142,6,"Planning, layout"
11,376,2,Tobitate! (Vita)
11,978,1,"Background art, event background art"
11,978,6,"Graphics supervision, design, graphics"
11,1271,6,Graphics (special help)
11,1549,3,BGM
11,1550,3,"PC OP & ED, BGM"
11,1552,3,All of the PSV OPs
11,1555,7,"PS2 OP ""Ougon no Kagayaki"" (as MAKI)"
11,1561,7,"ED ""days"""
11,1562,7,"Vita 1st OP ""ARCADIA"", 2nd OP ""HORIZON"", Vita 3rd OP ""Another Heaven"""
11,1566,7,"Realta Nua Insert song ""Yume no Owari"""
11,1567,7,"OP ""THIS ILLUSION"""
11,1568,7,"Realta Nua ED ""Link"""
11,8991,1,Assistant artist (special help)
11,9562,6,Special thanks
11,12340,6,Graphics (special help)
11,13494,1,Background art
11,13691,6,Gaelic language research
11,14988,6,Graphics (Realta Nua)
12,386,2,
12,386,3,
12,386,6,Planning
12,429,5,
12,430,6,Colouring
12,431,1,
12,769,7,"OP ""Light colors"", ED ""Life is like a melody"""
12,980,2,
12,981,2,Additional content from CS Edition
12,984,3,
12,985,3,
12,5585,6,OP movie
12,13479,6,Programming
12,13481,6,Script
12,13482,6,PR
12,13583,6,Colouring
12,13586,6,"Colouring, BG"
12,13588,2,Assistant writer
12,13588,6,Progress management
13,380,2,Kokoro's Route
13,455,7,"PSP OP ""Uchuu no Stencil"", PSP ED ""Kirenai Knife"""
13,1008,2,"Main scenario writer/draft, Kokoro's Route, Satoru's Route"
13,1008,4,"PS2, senior director of PSP version"
13,1008,6,"Planning, original concept, producer, movie editing, PSP version Infinity Series Chronology writer"
13,1013,2,"Kokoro's Route, Satoru's Route"
13,1017,3,
13,1038,7,"OP ""Little prophet"""
13,1652,7,"ED ""Darkness of chaos"""
13,2499,6,Assistant producer (PSP)
13,2504,6,"Producer, movie editing"
13,3073,6,System graphics
13,8090,2,Kokoro's Route
13,8632,6,"CG director, OP animation director/animation,"
13,8663,5,
13,9004,6,"CG drawing, OP animation, background mob characters drawing"
13,9987,6,CG coloring
13,11817,6,"Debug, demo version scripting/debug"
13,12382,2,Kokoro's Route
13,13446,4,PSP
13,13446,6,Scripting
13,13526,6,"Assistant planning, scripting (original), direction support (PSP)"
13,15621,6,"CG coloring/director, OP animation coloring, production manager"
13,16390,6,Executive producer
13,16779,6,"Assistant planning, scripting (original), special thanks (PSP)"
13,16780,6,System graphics (PSP)
13,16784,6,Production manager
13,16785,6,Line manager (PSP)
13,16867,6,Production manager
14,59,7,"ED ""Anata ga... Inai"""
14,185,6,"True ED ""Hello, My Happiness"" lyrics"
14,291,3,"ED ""Anata ga... Inai"""
14,388,7,"True ED ""Kanashimi no Mukou he"""
14,417,7,"Insert Song ""Let Me Love You"""
14,417,6,"Insert Song ""Let Me Love You"" lyrics"
14,694,7,"True ED ""Hello, My Happiness"""
14,1062,2,
14,1068,5,
14,1109,7,"True ED ""Bye-Bye Tears"""
14,1691,7,"True ED ""Secret Zaurus"""
14,1785,3,
14,2380,7,"True ED ""Futari no Christmas"""
14,2767,3,"True ED ""Futari no Christmas"""
14,3171,6,"True ED ""Futari no Christmas"" lyrics"
14,5928,3,"True ED ""Hello, My Happiness"", True ED ""Kanashimi no Mukou he"""
14,5928,7,"OP ""Still I Love You ~Mitsumeru yori wa Shiawase~"""
14,5928,6,"OP, True ED ""Bye-Bye Tears"", True ED ""Secret Zaurus"", True ED ""Kanashimi no Mukou he"" lyrics"
14,6061,6,"ED ""Anata ga... Inai"" lyrics"
14,7671,3,"BGM, OP, True ED ""Bye-Bye Tears"", True ED ""Hello, My Happiness"" arrangement, True ED ""Kanashimi no Mukou he"" arrangement"
14,8016,3,"True ED ""Secret Zaurus"""
14,8811,2,Assistant Writer (School Days L×H)
14,8812,2,Assistant Writer (School Days L×H)
14,10574,3,"Insert Song ""Let Me Love You"""
14,13446,6,Scripting (School Days LxH)
14,13526,6,Scripting (School Days LxH)
14,16778,6,Scripting (School Days LxH)
14,16784,6,Program producer (School Days LxH)
14,16867,6,Development producer (School Days LxH)
15,386,2,
15,386,3,
15,386,6,Planning
15,429,5,
15,429,1,
15,971,2,
15,984,3,
15,1390,3,
15,1390,6,Executive producer
15,2168,3,
15,13583,6,Graphics
15,13584,6,Graphics
16,1392,2,Honami route
16,1900,2,
16,2568,3,BGM
16,2750,2,Assistant writer
16,2750,6,"Producer, production"
16,3395,6,Production
16,3396,6,Production
16,3522,5,
16,3522,1,
16,5069,6,Production
16,6077,4,
16,6077,6,"Planning, production"
16,6102,1,SD
16,6103,2,Assistant writer
16,8814,6,OP movie
17,385,1,"Character sprites, BG"
17,410,7,"PSP OP ""It's a fine day"", PSP ED ""The Azure ~Ao no Kioku~"""
17,1008,2,"Kid's common route, You's route"
17,1008,4,"DC, PS2, PC, senior director of PSP version"
17,1008,6,"ED movie, PSP version TIPS director"
17,1012,2,"Main scenario, Coco's route"
17,1012,6,"Original concept, scenario composition"
17,1017,3,BGM
17,1037,7,"PC/PS2 ED ""Aqua Stripe"""
17,1038,7,"PC/PS2 OP ""LeMU ~Haruka na Lemuria Tairiku~"""
17,2499,6,Assistant producer (PSP)
17,2504,6,"Producer, OP movie"
17,3060,6,CG general supervision
17,3061,5,
17,3061,1,
17,3072,2,"Tsugumi's route, Sora's route"
17,3072,4,Assistant director
17,3072,6,"Scenario editing, script"
17,3073,2,Sara's route
17,3073,4,"PS2 (Premium Edition), English PC version"
17,3073,6,System graphics
17,3355,3,"PSP ED ""The Azure ~Ao no Kioku~"" composition"
17,5184,3,PC OP arrangement
17,8090,6,Voice work sound supervisor
17,8632,6,"CG director, event CG coloring"
17,9004,1,"CG drawing assistant, character sprites, background mob character drawing,"
17,11817,6,Debug
17,13446,4,PSP
17,13446,6,"Scripting, debugging"
17,13526,6,Directing support (PSP)
17,15619,4,Assistant director
17,15619,6,Scripting
17,15621,6,"Event CG coloring, system graphics"
17,16389,1,
17,16389,6,Event CG coloring
17,16390,6,Executive producer
17,16778,6,Scripting
17,16779,4,Assistant director
17,16779,6,Scripting
17,16780,6,System graphics (PSP)
17,16785,6,Line producer (PSP)
17,16867,6,Development control
17,17199,6,Event CG coloring
17,18035,6,Sales
18,1455,2,"PS, PSE and PS2 versions"
18,1460,2,"Kotone, Shiho, Lemmy and Rio routes"
18,1462,2,
18,1462,6,"Planning, scenario composition"
18,1463,5,
18,1463,1,
18,1463,6,Scenario composition
18,2170,3,
18,2184,3,
18,2198,3,
18,2198,6,Producer
18,2575,5,
18,2575,1,"Kotone, Shiho, Lemmy and Rio"
18,7489,7,"OP ""Brand-new Heart"" and ED ""Atarashii Yokan"""
18,13479,6,Graphics
19,4447,2,Additional scenario (~forever with you~ ver.)
19,5125,7,"OP ""Tokimeki"", EDs ""Futari no Toki"", ""Motto Koi Shiyou"""
19,9899,3,
19,12607,6,Game design
19,17534,4,
19,17538,2,Assistant
19,17542,3,
19,17543,3,
19,17545,3,
19,17547,3,
20,601,7,"Insert song ""Hoshi no Uta"""
20,744,5,"Yuuki, Sango, Ruri"
20,744,1,
20,745,5,"Konomi, Yuma, Harumi, Chie, Michiru, Mio"
20,745,1,
20,962,7,"PSP & PS3 OP ""Heart to Heart"", PS3 ED ""Cosmos no you ni"""
20,1901,2,"Sango, Ruri, Lucy, Sasara routes"
20,1902,2,"Yuma, Manaka, Mio routes"
20,1903,2,"Konomi, Tamaki routes"
20,1904,2,"Karin, Yuuki routes"
20,1904,3,Insert song composition & lyrics
20,2170,3,
20,2182,3,
20,2184,3,PS2 & PC OP composition & arrangement
20,2198,3,
20,2572,5,"Karin, Lucy, Nanako, Sasara, Maaryan"
20,2572,1,
20,2864,5,"Tamaki, Manaka, Ikuno, Yuuji, Reona, Kaoruko, Kasumi, Daniel"
20,2864,1,
20,3022,6,OP movie animation director
20,7489,7,"PS2 & PC ED ""Arigatou"""
20,8196,6,"PS2 & PC OP, PS2 & PC ED lyrics"
20,8199,3,Insert song arrangement
20,8843,7,"PS2 & PC OP ""Heart to Heart"""
20,13193,4,
20,15799,1,Mob characters
21,744,5,"Touko, Shinobu and Maho"
21,744,1,
21,745,5,Yukio and Asuna
21,745,1,
21,1901,2,
21,1901,6,Planning
21,2170,3,BGM
21,2182,3,BGM
21,2184,3,"OP, BGM"
21,2198,3,"ED, BGM"
21,7489,7,"ED ""Hitori"""
21,8196,6,OP Lyrics
21,13193,4,
21,15122,7,"OP ""I hope so..."""
22,185,3,"OP, Shirohane ED Lyrics"
22,185,7,"OP ""Alea jacta est!"", Shirohane ED ""it's just farewell"", An' call Belle OP ""Life goes on."""
22,381,2,
22,381,4,
22,381,6,"Scenario composition, script"
22,506,3,"OP, Shirohane ED, SE"
22,1668,5,
22,1668,1,
22,1668,6,"Planning, original concept, CG colouring, BG"
22,2487,6,Script
22,3200,6,"Script, debug (2016 ver.)"
22,3613,6,Script
22,4163,6,Movie
22,4207,6,OP movie
22,4816,6,Script
22,5834,1,"Assistant artist, CG support"
22,8761,2,Assistant Writer
22,11100,7,"Kurohane ED ""Memories are here"""
22,13494,6,"BG, CG colouring"
22,13497,4,
22,13497,6,"Graphics supervision, CG colouring, BG, movie"
23,64,7,"PC First OP ""Ano Kumo no Mukou he"", PS2 First OP ""Hoshizora no Sakamichi"")"
23,64,6,PC First OP lyrics
23,362,2,
23,362,4,
23,454,3,"PC Second OP lyrics, PS2 Second OP composition & lyrics"
23,454,7,"PC Second OP ""SHOOTING STAR"", PS2 Second OP ""SHINING STAR"""
23,2928,5,
23,2928,1,
23,3462,3,PS2 Second OP arrangement
23,4616,3,"BGM, PC ED"
23,4997,6,PS2 ED lyrics
23,5011,3,PS2 ED
23,5155,7,"PC ED ""Todoku Kokoro, Dakishimete."", PS2 ED ""Hoshizora e no Monologue"""
23,5585,6,Movie
23,5743,6,Movie
23,6740,6,Producer
23,7456,6,PC ED lyrics
23,8583,3,BGM
23,14286,3,PS2 First OP arrangement
24,26,2,
24,26,5,
24,26,4,
24,26,1,
24,104,7,"Insert song ""Happy Maria Uta"""
24,515,3,
24,516,3,
24,760,3,
24,809,3,"OP composition, arrangement"
24,809,7,"OP ""Umineko no Naku Koro ni"""
24,1393,6,OP lyrics
24,1658,3,
24,3066,7,"PS3 & PSP OP ""Senkyou no Igureeja"""
24,4163,6,PS3 & PSP OP movie
24,6925,3,
24,6926,3,
24,7070,3,
24,7072,3,
24,7152,3,
24,8814,6,OP movie
24,11834,3,
25,1503,2,
25,1503,5,
25,1503,4,
25,1503,1,
25,1505,5,
25,1505,1,
25,1510,2,
25,5796,5,Ayakashi design
25,5796,1,
25,5799,2,
25,13452,6,OP movie
26,2242,3,
26,2774,7,"OP ""Seinarukana"", ED ""Orichalcum no Na no Moto ni"""
26,3250,6,Scenario cooperation
26,4324,1,
26,5669,2,
26,7452,2,
26,7452,6,"Planning, Game design"
26,7454,1,
26,8178,3,"OP, ED, Insert song ""Eien no Aselia -Seinaru Arrange-"
26,8288,6,Scenario cooperation
27,1017,3,BGM
27,1038,7,"OP ""Separate Hearts"""
27,1908,2,
27,2504,6,Producer
27,5184,3,OP arrangement
27,8069,5,
27,8069,1,
28,370,6,Production
28,431,6,Special thanks
28,694,7,"Insert song ""In the Sky"", Essence ED ""Selection."""
28,1691,7,"OP ""Mirage Lullaby"", ED ""SCRAMBLE!"", PS2 OP ""ORIGINAL!"" Essence OP ""Link-age"", ED ""Summer Again"""
28,1866,6,Special thanks
28,1905,2,
28,1905,6,Planning
28,1956,6,Special thanks
28,2250,5,"Nerine, Asa, Kareha, Nadeshiko, Tsubomi, Seji, Cineraria, male characters"
28,2250,1,
28,2260,3,
28,2261,3,
28,2500,5,"Lisianthus, Kaede, Primula, Mayumi, Sakura, Daisy, Matsuri, Erika and others"
28,2500,1,
28,3913,6,Special thanks
28,5815,6,Special thanks
28,6089,6,OP movie
28,13608,2,
28,13609,6,Special thanks
29,325,5,
29,325,1,
29,330,2,
29,333,3,
29,336,3,
29,6311,4,
29,8624,3,
30,140,7,"OP ""Wolf"""
30,1582,5,Original Plan
30,4208,6,Demo and OP movie
30,4900,5,
30,4900,1,
30,17339,3,
32,742,7,"OP ""Went Away"""
32,1022,3,
32,1184,1,
32,1185,3,
32,1186,7,"ED ""Mirai kono hoshi de"""
32,2109,2,
33,386,2,"Makoto's, Mai's and Sayuri's routes"
33,386,3,
33,429,5,
33,429,1,
33,429,6,CG
33,971,2,"Ayu's, Shiori's and Nayuki's routes"
33,971,6,Planning
33,984,3,
33,985,6,Special thanks
33,2189,3,
33,6058,3,OP and ED arrangement
33,13286,7,"OP ""Last regrets"", ED ""Kaze no Tadoritsuku Basho"""
33,13479,6,System support
33,13583,6,CG
33,13584,6,CG
33,13586,6,"CG, BG"
33,13589,6,Event BG
34,430,6,Graphics
34,984,3,
34,985,3,
34,2348,7,"ED ""Song of the Rotation of the Spheres"""
34,6067,6,Special thanks
34,6806,5,
34,6806,6,"Mechanic design, CG supervision"
34,9153,6,Executive producer
34,13479,6,Programming
34,13586,6,"Graphics, BG"
35,978,6,Colouring
35,2089,2,
35,2440,1,
35,2642,7,"DC/PS2 OP/Kasumi ED ""Flow"""
35,2648,5,
35,2648,1,
35,2648,6,Colouring
35,2649,3,BGM
35,6089,6,Movie
35,6458,3,"PC OP, PC ED, insert song"
35,6460,6,"PC OP, PC ED, insert song lyrics"
35,7381,3,DC/PS2 OP/Kasumi ED
35,7381,6,DC/PS2 OP/Kasumi ED lyrics
35,9562,4,
35,9562,6,"Planning, design"
35,12044,6,OP director
35,12054,2,
35,12054,6,Script
35,16887,7,"PC OP ""Wind"", insert song ""Dream"""
36,386,2,"Misuzu, Minagi True End and AIR scenarios"
36,386,3,
36,386,6,Planning
36,429,5,
36,429,1,
36,430,6,CG
36,769,7,"OP ""Tori no Uta"", ED ""Farewell Song"", Insert Song ""Aozora"""
36,984,3,
36,985,3,
36,2045,2,Kano's route
36,5369,2,Minagi's route final parts
36,6058,3,OP Arrangement
36,9153,6,Executive producer
36,13479,6,Programming
36,13583,6,CG
36,13584,6,CG
36,13585,6,BG
36,13586,6,BG
36,13587,2,Minagi's route final parts
36,13588,2,Assistant writer
37,376,2,
37,376,6,"Original concept, Planning"
37,539,2,Assistant Writer
37,541,2,
37,741,1,
37,1447,2,Assistant Writer
37,1448,2,Assistant Writer
37,1969,3,
37,2568,3,
38,830,7,"Insert Song ""Himitsu"", Torta ED ""Itsudemo Hohoemi o"""
38,1037,7,"Insert Song ""I'm always close to you"", Insert Song ""Fay"""
38,2485,2,
38,6435,1,"Art direction, character design"
38,8855,3,
38,8855,7,"OP ""The Other Side of the Sky"", Phorni ED ""Even When Crying"""
38,14650,2,
39,9917,2,
39,9918,2,
40,9917,6,Assistance
40,9918,2,
40,9918,6,Planning
41,719,7,"OP ""SHINE"""
41,1806,3,
41,3086,1,
42,1202,7,"OP ""Namikimichi no Egao"" and ED ""Koi no Highlight"""
42,1666,1,
43,438,7,"X Change R theme song ""Onetsu na Chikyuu ☆"""
43,546,2,
43,6855,5,
43,6855,1,
43,6856,3,X Change R theme song
43,6862,2,Additional scenario for R version
44,3,6,"Original concept, planning"
44,170,2,Aeka route (Uncredited)
44,170,6,Text revision and supervision (Uncredited)
44,202,7,"OP ""Sekai ni Sayonara"""
44,436,1,
44,540,2,Uncredited
44,1827,3,
44,4459,4,
44,4459,6,Scenario supervision
44,7438,2,Uncredited
45,313,3,
45,388,7,"Kuroi Hitomi no Aria ""Sie Null"" ED ""DON'T LET GO"" [Remake]"
45,1271,6,"2D graphics direction, layout"
45,1281,1,PS2 version/Phantom Integration
45,1281,6,Colouring (PS2)
45,2119,6,"Producer, layout, sound effects supervisor"
45,2158,3,
45,2853,2,PS2
45,5184,3,
45,5550,6,Planning (remake)
45,5797,6,2D graphics
45,6089,6,Movie (PS2)
45,7276,3,
45,7687,6,Planning assistance (remake)
45,8153,3,
45,12927,4,Remake
45,13446,6,Scripting (remake)
45,13526,4,Development director (remake)
45,14437,6,Scripting (remake)
45,15112,4,PS2
45,15112,6,3D graphics and movie (PS2)
45,15627,2,PS2
45,15628,2,PS2
45,15629,5,
45,15629,1,"Original, PS2 and Integration"
45,15686,2,Remake
45,15688,2,Remake
45,15689,2,Remake
45,15689,6,Planning assistance (remake)
45,16185,6,2D graphics
45,16783,6,Sound direction (remake)
45,16785,6,Development management (remake)
45,17876,6,2D graphics (Integration)
46,4,2,Misc. writing
46,170,2,
46,541,2,Misc. writing
46,1448,2,Misc. writing
46,1844,3,
46,3872,5,
46,3872,1,
46,4876,2,Misc. writing
46,7438,2,
47,2,2,
47,2,4,
47,2,6,"Planning, original concept, game composition, programming"
47,142,5,
47,142,1,
47,142,6,"Planning, development supervision, CG"
47,978,1,Guest artist
47,978,6,Event CG
47,1453,2,"Drinking, Dreaming Moon"
47,1550,3,
47,2648,1,Guest artist
47,3641,1,Guest artist
47,4325,6,Special thanks
47,15071,2,Reimei
47,15072,2,"Hisui-chan, Hanten Shoudou!"
48,4000,3,
49,2,2,
49,142,5,
49,142,1,
50,2,2,Main story segments
50,2,4,Main Director
50,2,6,"Planning, original concept, game composition"
50,4,2,PSVita version
50,142,5,
50,142,1,
50,142,6,Planning
50,376,2,"Assistant writer, uncredited"
50,978,1,"Graphics supervision, graphics"
50,1549,3,BGM
50,1568,7,"Original 1st OP ""Ataraxia"", 2nd OP ""hollow"", ED ""our future"""
50,1907,2,
50,2484,2,Assistant writer (H-scenes)
50,12277,7,"PSVita 1st OP ""broKen NIGHT"", 2nd OP ""holLow wORlD"", ED ""Open The Doors"""
50,15384,6,Animation of both PSVita Openings
51,386,2,"Mizuka, Rumi and Mayu's routes"
51,386,6,Planning
51,429,5,
51,429,1,
51,429,6,Graphics
51,971,2,"Misaki's, Mio's and Akane's routes"
51,984,3,
51,1390,3,
51,1390,6,Executive producer
51,2067,6,Planning (PS1)
51,2189,3,
51,2504,4,PS1
51,7097,3,
51,7098,3,
51,13583,6,Graphics
51,13584,6,Graphics
51,13589,6,BG
51,13590,2,Natsuki's route (PS1)
51,13591,6,Planning assistance
51,15450,6,Programming assistant (PS1)
51,15619,6,Test play (PS1)
51,16390,6,Executive producer (PS1)
53,521,2,
53,2966,3,
53,10855,6,"Polishing, script editing"
54,2628,2,
54,6809,5,
54,6809,1,
55,1785,3,
55,1870,3,OP
55,1870,7,"OP ""Ganbaranai to"""
55,13226,2,
56,214,7,"OP ""CHANGE"""
57,97,3,Insert Song
57,372,2,
57,372,6,Planning
57,760,3,"PC OP, PC ED"
57,760,7,"PC OP ""Akazora Renka"", Insert song ""Sora no Sukima"", ED ""Shukufuku no Daichi, Gyoukou no Sekai"", Xbox 360 OP ""Hakujitsumu"""
57,1785,3,
57,1868,3,"Xbox 360 OP ""Hakujitsumu"""
57,1869,3,
57,1873,3,BGM
57,1874,3,BGM
57,1877,3,BGM
57,2131,5,
57,2131,1,
57,3861,3,"BGM, PC OP & PC ED arrangement"
57,6011,4,
57,13568,2,Console ports
59,4325,6,Special thanks (NScripter)
60,3667,4,PC
61,16517,7,"OP ""Hitonatsu no Yume"""
62,13036,3,
62,14648,6,Sound effects
64,2628,2,
64,3041,3,
64,3042,5,
64,3052,3,
64,4207,6,OP and demo movie
65,963,3,
65,963,7,"Insert songs ""Fortuna"" and ""Last moment"""
65,1336,3,
65,2060,1,
65,2065,2,Shura
65,2066,6,Executive producer
65,2377,7,"ED ""Silent wing"""
65,2838,2,
65,2848,1,
65,2849,2,"Glear's route, common route and other routes assistance"
65,2851,2,
65,2854,2,
65,2856,2,
65,2923,1,Shura
65,3039,1,
65,3053,1,Shura
65,3461,3,
65,16889,7,"OP ""Ashura Hime"""
65,17672,4,
65,17673,2,
65,17674,3,
66,3,2,
66,3,6,"Planning, original picture specification, ED lyrics"
66,202,3,BGM
66,202,7,"ED ""Crossing"""
66,687,7,"For all people OP ""inertia world"""
66,1630,7,"360 After Story OP ""Gunjou no Tifaresu"""
66,1827,3,"BGM, ED"
66,1827,6,Stage management
66,1950,5,
66,1950,1,
66,2067,6,Special Thanks (For All People)
66,2472,3,360 After Story OP arrangement
66,2504,6,Special Thanks (For All People)
66,3064,3,360 After Story ED arrangement
66,5585,6,Movie (For All People)
66,5746,4,Voice Director
66,6259,4,
66,6960,7,"360 After Story ED ""Jikan no Kumo"""
66,7375,3,
66,7489,6,360 After Story ED lyrics
66,8157,3,BGM
66,8894,6,"Stage management, script, movie, sound effects"
66,13446,6,Scripting (In Memory of All People + For All People)
66,13454,2,For All People/Final Complete only
66,13526,4,In Memory of all People + For All People director
66,13526,6,System graphics (For All People)
66,13989,3,BGM
66,14437,6,Scripting (In Memory of All People)
66,16778,6,Scripting (In Memory of All People)
66,16784,6,Producer (PS2 + For All People)
66,16785,6,Line management (In Memory of All People + For All People)
66,17842,6,
67,26,2,
67,26,5,
67,26,4,
67,26,1,
67,313,3,Matsuri/Kizuna/Sui soundtrack
67,388,7,"Matsuri First ED ""escape"", Second ED ""Friend"", Kizuna First ED ""Tsuisou no Despair"", Sui OP ""SideEffect"""
67,979,1,Matsuri/Kizuna/Sui
67,1026,7,"Matsuri First OP ""Nageki no Mori"", Matsuri Second OP ""Complex Image"""
67,2623,5,MangaGamer re-releases
67,2904,7,"Kizuna Second OP ""Place of Period"""
67,2905,2,Console exclusive arcs
67,4906,2,Matsuri only
67,4915,2,Matsuri only
67,4996,3,
67,4996,6,Place of Period Arrangement
67,5011,3,
67,5184,3,
67,11721,2,Matsuri only
67,16878,6,"Music room, omake game, script"
67,18039,3,Matsuri/Kizuna/Sui BGM
68,26,2,
68,26,5,
68,26,4,
68,26,1,
68,313,3,Matsuri/Kizuna/Sui soundtrack
68,388,7,"Matsuri First ED ""escape,"" Second ED ""Friend"""
68,515,3,"29 tracks, Sui ED composition"
68,516,3,4 tracks
68,979,1,Matsuri/Kizuna/Sui
68,1026,7,"Kizuna OP ""Angelic Bright"", ED ""Tada Nagaruru Mama ni"""
68,2623,1,MangaGamer version
68,2905,2,Matsuri
68,4906,2,Yoigoshi-hen; Matsuri
68,4915,2,Matsuri
68,5184,3,"Rasen ED, Kizuna OP arrangement"
68,6738,3,Rasen OP arrangement
68,6925,3,7 tracks
68,6926,3,Sui ED composition
68,6927,3,2 tracks
68,8712,3,"Sui OP, ED arrangement"
68,10223,7,"Sui ED ""Hitotsu no Inochi"""
68,10703,3,Kizuna OP arrangement
68,11721,2,Matsuri
68,14845,2,Matsuri
68,16343,7,"Rasen OP ""Hikari no Sora no Qualia"""
