trait_id,trait_name,trait_alias,description
21,Hime Cut,,"This character has [url=http://en.wikipedia.org/wiki/Hime_cut]hime cut hairstyle[/url].\n\nA hime cut is a hairstyle consisting of straight, cheek to chin length sidelocks and blunt bangs. With the rest of the hair longer than the shoulders and straightened."
22,Long,,This character has [url=http://en.wikipedia.org/wiki/Long_hair]long hair[/url].\n\nLong hair is used when referring to hair longer than shoulder length.
23,Waist Length+,Very Long,This character has [url=http://en.wikipedia.org/wiki/Long_hair]very long hair[/url].\n\nVery long hair is used when referring to hair at waist length or longer.
24,Wavy,,This character has wavy hair.\n\nWavy hair is used when referring to hair that have waves.
25,Curtained,,"This character has [url=http://en.wikipedia.org/wiki/Curtained_hair]curtained hairstyle[/url].\n\nCurtained hair is the term given to the hairstyle featuring a long fringe divided in either a middle parting or a side parting. When used, it generally applies to males."
26,Shoulder-length,Medium,This character's hair is at medium length.\n\nMedium hair is used when referring to hair longer than short hair up to shoulder length.
27,Mullet,,"This character has [url=http://en.wikipedia.org/wiki/Mullet_%28haircut%29]mullet hairstyle[/url].\n\nThe mullet is a hairstyle that is short at the front and sides, and long in the back."
28,Pixie Cut,,This character has [url=http://en.wikipedia.org/wiki/Pixie_cut]pixie cut hairstyle[/url].\n\nA pixie cut refers to a short woman's hairstyle generally short on the back and sides of the head and slightly longer on the top.
29,Short,,This character's hair is short.\n\nShort hair is used when referring to hair at short length overall.
30,Straight,,This character has [url=http://en.wikipedia.org/wiki/Straight_hair#Straight_hair]straight hair[/url].
31,Kemonomimi,Animal Ears Shaped Hair,"This character's hairstlye has a [url=http://en.wikipedia.org/wiki/Kemonomimi]kemonomimi[/url], animal ears, shape.\n\nKemonomimi, literally meaning ""animal ears"", is based on the the concept of drawing animals as bishoujo or having bishoujo wear or have animal accessories (such as ears or tails). Catgirls are the most prolific in this category, although bunnygirls, foxgirls, and dog girls are also common.\n\nKemonomimi characters typically appear human except for added animal-like qualities.\n\nThis trait is intended for characters with hair styles that look like animal ears. And it should not be mixed with the other two kemonomimi traits:\nClothes > [url=http://vndb.org/i153]Kemonomimi Headband[/url] refers to characters wearing head accessories animal ears and\nBody > [url=http://vndb.org/i677]Kemonomimi[/url] refers to humanoid characters with actual animal ears."
32,Facial Hair,,These are the traits for the characters' [url=http://en.wikipedia.org/wiki/Facial_Hair]facial hair[/url].
33,Beard,,"These are the traits for the characters' [url=http://en.wikipedia.org/wiki/Beard]beard[/url].\n\nA beard is the collection of hair that grows on the chin, cheeks and neck, but not the upper lip, of human beings"
34,Moustache,Mustache,These are the traits for the characters' [url=http://en.wikipedia.org/wiki/Moustache]moustache[/url].\n\nA moustache is facial hair grown on the outer surface of the upper lip.
35,Eyes,,These are the traits about characters' [url=http://en.wikipedia.org/wiki/Eye]eyes[/url].
36,Body,,These are the traits for characters' [url=http://en.wikipedia.org/wiki/Human_physical_appearance]physical appearance[/url].
37,Clothes,,These are the traits for the characters' [url=http://en.wikipedia.org/wiki/Clothing]clothing[/url] and [url=http://en.wikipedia.org/wiki/Personal_armour]armor[/url].
38,Items,,"These are the traits for the things characters carry around with them most of the time, things that they can be identified with."
39,Personality,,"These are the [url=http://en.wikipedia.org/wiki/Trait_theory]traits for characters' personality[/url].\n\nThese traits are planned to be the ones that are about how characters act, so even if the trait you thought about sounds closer to a role, put the it here if it is more about characters' mindsets."
40,Role,,"These are the traits for the characters' [url=http://en.wikipedia.org/wiki/Role]roles[/url] in the game's story.\n\nThey usually apply to characters' current vocation, or social state, but also apply to their previous ones if those are a part of the story.\n\nDo not mix with the term ""Role"" for their character types such as protagonist, hero/heroine.\n\nWhile these traits might sound a bit off as a characters role in a story if you think it alone, like ""this characters role in this game isn't being an American"", think them more along the lines of: ""Alex plays the role of an American soldier in this story."". As long as a trait can fit to this structure it can be used as a role trait."
41,Engages in,,"These are the traits for the actions characters engage in, usually by their own initiative."
42,Subject of,,These are the traits for the actions characters get subjected to by others and situations that they are being the subject of.
43,Engages in (Sexual),,"These are the traits related to [url=http://en.wikipedia.org/wiki/Human_sexual_activity]sexual activities[/url].\n\nThese traits are intended to be used on a single character for a sexual act, instead of both characters involved. The aim is to clarify the confusion of which one being the active and which one being the passive partner in such an acts. The child traits of this traits should be used on the active partner in a sexual act."
44,Apparent Age,,"These are the traits for characters' apparent age. Listed age categories are designed based on the concepts from [url=http://en.wikipedia.org/wiki/Erikson%27s_stages_of_psychosocial_development]Erikson's stages of psychosocial development[/url].\n\nNote that these traits only signify the physical appearance of characters, and they might not reflect actual age."
45,Body Type,,These are the traits for characters' [url=http://en.wikipedia.org/wiki/Somatotype_and_constitutional_psychology]body type[/url] and height.
46,Markings,,These are the traits for any distinctive visible markings on characters' bodies such as [url=http://en.wikipedia.org/wiki/Tattoo]tattoos[/url] and [url=http://en.wikipedia.org/wiki/Scar]scars[/url].
47,Eye Color,Eye Colour,These are the traits about characters' [url=http://en.wikipedia.org/wiki/Eye_colors]eye colors[/url].
48,Cross-dressing,,"This character [url=http://en.wikipedia.org/wiki/Cross-dressing]cross-dresses[/url].\n\nCross-dressing is the wearing of clothing and other accoutrement commonly associated with a gender within a particular society that is seen as different than the one usually presented by the dresser. Cross-dressing has been used for disguise, performance art and as a literary trope in modern times and throughout history."
49,Transgender,,"This character displays [url=http://en.wikipedia.org/wiki/Transgender]transgender[/url] behavior.\n\nTransgender is the state of one's ""gender identity"" (self-identification as woman, man, neither or both) not matching one's ""assigned sex"" (identification by others as male, female or intersex based on physical/genetic sex).\n\n""Transgender"" does not imply any specific form of sexual orientation; transgender people may identify as heterosexual, homosexual, bisexual, pansexual, polysexual, or asexual; some may consider conventional sexual orientation labels inadequate or inapplicable to them.\n\nThis trait refers to characters acting outside the social norms of their physical gender. It does not necessarily cover looking, dressing like or claiming to be of that gender."
50,Green,,This character has green hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
51,Trap,,"This character is a boy who looks like, or is usually mistaken, for a girl.\n\nDressing and acting like a girl is optional.\n\n""Trap"" does not imply any specific form of sexual orientation but only the physical appearance.\n\nThis trait is to be used for works that explicitly frame a male character as female in order to ""trap"" the player. For gender ambiguous body types use [url=/i1519]Androgynous[/url] instead. For characters whose self-described gender identity does not match their sex, use [url=/i49]Transgender[/url].\n\nDo not apply the trait to transsexual characters, nor to the characters with a [url=/i3102]Newhalf[/url] body type, as these are separate fetishes. A possible exception could be allowed, if the character starts as a Trap and later transitions during the course of the story."
52,Reverse-trap,,"This character is a girl who looks like, and is usually mistaken, for a boy.\n\nDressing and acting like a boy is optional.\n\n""Trap"" does not imply any specific form of sexual orientation but only the physical appearance.\n\nThis trait is to be used for works that explicitly frame a female character as male in order to ""trap"" the player. For gender ambiguous body types use [url=/i1519]Androgynous[/url] instead. For characters whose self-described gender identity does not match their sex, use [url=/i49]Transgender[/url].\n\nDo not apply the trait to transsexual characters, as it is a separate fetish. A possible exception could be allowed, if the character starts as a Reverse-trap and later transitions during the course of the story."
53,Brown,,This character has [url=http://en.wikipedia.org/wiki/Eye_colors#Brown]brown eyes[/url].
54,Teen,Teenager\nAdolescent,"This character has the [url=http://en.wikipedia.org/wiki/Human_physical_appearance]physical appearance[/url] of a [url=http://en.wikipedia.org/wiki/teen]teen[/url] of ages 13 to 19.\n\nNote that this trait only signifies the physical appearance of this character, and it may not reflect actual age."
55,Slim,Ectomorphic\nThin,This character has an [url=http://en.wikipedia.org/wiki/Ectomorphic]ectomorphic[/url] body type characterized by long and thin muscles/limbs and low fat storage; usually referred to as slim.
56,Features,,These are the important features about characters' bodies.
57,Average Height,Normal Height\nRegular Height\nOrdinary Height,"This character has an [url=http://en.wikipedia.org/wiki/Human_height]average physical stature[/url].\n\nAs a guideline, we decided to list characters between the heights of 1.45m and 1.80m as average."
58,Skin Tone,,"These are the traits for characters' apparent [url=http://en.wikipedia.org/wiki/Skin_color#Skin_tone_variability]skin tones[/url].\n\nNote that these traits only signify the physical appearance of characters, and they do not reflect race or ethnicity."
59,Pale,Light,This character has a [url=http://en.wikipedia.org/wiki/Light_skin#Light_skin]light skin tone[/url].
60,Over Body Clothing,Full Body Clothing,"These are the traits for the characters' clothing worn over others, or ones that cover their entire body or worn as a set. Like a robe or uniform."
61,Uniform,,This character wears a [url=http://en.wikipedia.org/wiki/Uniform]uniform[/url].\n\nA uniform is a set of standard clothing worn by members of an organization while participating in that organization's activity.
62,School Uniform,Student Clothes,This character wears a [url=http://en.wikipedia.org/wiki/School_uniform]school uniform[/url].\n\nA school uniform is an outfit—a set of standardized clothes—worn primarily for an educational institution.
63,Upper Body Clothing,,"These are the traits for all kinds of clothing and accessories worn on the upper part of the body including arms, hands and neck."
64,Sweater,Jumper\nPullover\nSweatshirt\nJersey\nGuernsey,This character wears a [url=http://en.wikipedia.org/wiki/Sweater]sweater[/url].\n\nA sweater is a garment intended to cover the torso and arms.
65,Lower Body Clothing,,"These are the traits for all kinds of clothing and accessories worn on the lower part of the body, such as skirts and socks."
66,Trousers,Pants\nSlacks\nStrides\nKegs\nKex\nBreeches\nBreeks,"This character wears [url=http://en.wikipedia.org/wiki/Trousers]trousers[/url].\n\nTrousers are an item of clothing worn on the lower part of the body from the waist to the ankles, covering both legs separately."
67,Shoes,,This character is wearing [url=http://en.wikipedia.org/wiki/Shoes]shoes[/url].\n\nA shoe is an item of footwear intended to protect and comfort the human foot while doing various activities. Shoes are also used as an item of decoration.
68,Dress Shoes,,This character wears [url=http://en.wikipedia.org/wiki/Dress_shoe]dress shoes[/url].\n\nA dress shoe is a shoe to be worn at smart casual or more formal events.
69,Weapons,,"These are the traits for [url=http://en.wikipedia.org/wiki/Personal_weapon]personal weapons[/url] that characters are seen with during the story.\n\nA personal weapon is a weapon that can be carried and employed by a single person, although its use may be restricted to specialist members of attack or defense teams."
70,Dao,Chinese Saber,"This character has a [url=http://en.wikipedia.org/wiki/Dao_%28sword%29]dao[/url].\n\nDao is actually a generic word used to denote any member of a family of single-edged, broad-bladed cutting or slicing tools, but in common, everyday usage means knife.\n\nDao blades are moderately curved and single-edged, though often with few inches of the back edge sharpened as well; the moderate curve allows them to be reasonably effective in the thrust. Hilts are canted, curving in the opposite direction as the blade which improves handling in some forms of cuts and thrusts."
71,Dadao,Chinese Great Sword,"This character has a [url=http://en.wikipedia.org/wiki/Dadao]dadao[/url].\n\nBased on agricultural knives, dadao have broad blades generally between two and three feet long, long hilts meant for ""hand and a half"" or two-handed use, and generally a weight-forward balance."
72,Shinai,Bamboo Sword,"This character has a [url=http://en.wikipedia.org/wiki/Shinai]shinai[/url].\n\nShinai is a weapon used for practice and competition in kendo representing a Japanese sword.\n\nThe shinai comprises four slats known as take, usually made from dried bamboo, which are held together by three leather fittings: a hilt, or handle fitting; a fitting at the tip and a leather strip that binds the four slats. The parts are all secured with a string."
73,Sword,,"This character has a [url=http://en.wikipedia.org/wiki/Sword]sword[/url].\n\nA sword is a long, edged piece of forged metal, used in many civilizations throughout the world, primarily as a cutting or thrusting weapon and occasionally as a clubbing or bludgeoning weapon."
74,Proactive,Reliable\nDecisive\nConscientious\nCharacter with Initiative,"The opposite of [url=http://vndb.org/i216]Hetare[/url].\n\nYou can rely on this type of characters to do what needs to be done. They aren't afraid to make decisions. They take the initiative and solve the problem, usually by themselves. Once they have a goal in mind, they'll approach it with prudence and tact.\n\nThey usually have talent/ability or connections that they know how to make best use of.\n\nCheck [url=http://en.wikipedia.org/wiki/Proactivity_%28Proactive_behavior%29]proactivity[/url] or [url=http://en.wikipedia.org/wiki/Conscientiousness]conscientious[/url] for more details.\n\nShould only be used when the character acted like this for the majority of the game."
75,Donkan,Romantically Insensitive\nDense about Love,This character is blind against all romantic feelings and actions of people nearby.\n\nDonkan characters can't read the atmosphere at all. Some donkans may be smart like a genius but they still can't understand the romantic feelings of anyone until a clear confession is made. Even than they need to ask for a confirmation and think about it for a while.
76,Hardworker,Hard-working\nHard-worker,This character is a hardworking person.\n\nHardworker refers to a person that spends a lot of effort to succeed at the assigned tasks and achieve his/her goals.
77,Master,,"This character is a [url=http://en.wikipedia.org/wiki/Master_%28form_of_address%29]master[/url].\n\nA master is an employer of workers or servants, usually of a large estate or household."
78,Student,Pupil,"This character is a [url=http://en.wikipedia.org/wiki/Student]student[/url].\n\nA student is a learner, or someone who attends an educational institution.\n\nThis trait is intended to be used for students that are not a member of the child traits such as high school student or university student. If a character is a member of those please use the appropriate trait instead."
79,Magician,Magus\nMage\nWizard\nWarlock\nEnchanter\nEnchantress\nIllusionist,"This character is a [url=http://en.wikipedia.org/wiki/Magician_%28fantasy%29]magician[/url].\n\nA magician is someone who uses or practices magic that derives from supernatural or occult sources.\n\nThis trait signifies a character capable of casting magic spells, it does not necessarily mean that the character actually does so during the story."
80,Warrior,Fighter,"This character is a [url=http://en.wikipedia.org/wiki/Warrior]warrior[/url].\n\nA warrior is a person experienced in or capable of engaging in combat or warfare.\n\nThis trait is intended to cover all characters that had some self-defense and weapons training, it does not mean that all of these people are war veterans."
81,Soccer,Football,"This character plays [url=https://en.wikipedia.org/wiki/Association_football]football[/url].\n\nSoccer is a sport played between two teams of eleven players with a spherical ball. The game is played on a rectangular field of grass or green artificial turf, with a goal in the middle of each of the short ends. The object of the game is to score by driving the ball into the opposing goal.\n\nIn general play, the goalkeepers are the only players allowed to touch the ball with their hands or arms, while the field players typically use their feet to kick the ball into position, occasionally using their torso or head to intercept a ball in midair. The team that scores the most goals by the end of the match wins."
82,Swordsmanship,,"This character is a practitioner of  [url=http://en.wikipedia.org/wiki/Swordsmanship]swordsmanship[/url].\n\nSwordsmanship refers to the skills of a swordsman, a person versed in the art of the sword. The term is modern, and as such was mainly used to refer to smallsword fencing, but by extension it can also be applied to any martial art involving the use of a sword."
83,Hero,,"This character is a [url=http://en.wikipedia.org/wiki/Hero]hero[/url].\n\nHero refer to characters who, in the face of danger and adversity or from a position of weakness, display courage and the will for self sacrifice—that is, heroism—for some greater good of all humanity. This definition originally referred to martial courage or excellence but extended to more general moral excellence.\n\nThis trait is for characters moral quality and should not be mixed with their roles in games such as a protagonist or hero/heroine of a VN."
84,Villain,,"This character is a [url=http://en.wikipedia.org/wiki/Villain]villain[/url].\n\nA villain is an ""evil"" character in a story, whether a historical narrative or, especially, a work of fiction. The villain usually is the antagonist, the character who tends to have a negative effect on other characters.\n\nA character may start as a villain or hero and later switch to the other side, this trait should be used in either case."
85,Orphan,,"This character is an [url=http://en.wikipedia.org/wiki/Orphan]orphan[/url].\n\nAn orphan is a child permanently bereaved of his or her parents. In common usage, only a child who has lost both parents is called an orphan. However, adults can also be referred to as orphans, or ""adult orphans""."
86,Cooking,,"This character [url=http://en.wikipedia.org/wiki/Cooking]cooks[/url].\n\nCooking is the process of preparing food with heat. \n\nThis trait should be used for characters with cooking related scenes, and not just because they are professional cooks."
87,Fighting,Combat,"This character engages in [url=http://en.wikipedia.org/wiki/Combat]combat[/url].\n\nThe term combat (French for fight) typically refers to armed conflict between military forces in warfare, whereas the more general term ""fighting"" can refer to any violent conflict. Combat violence can be unilateral, whereas fighting implies at least a defensive reaction."
88,Fedora,,"This character wears a [url=http://en.wikipedia.org/wiki/Fedora]fedora[/url].\n\nA fedora is a men's felt hat that is creased lengthwise down the crown and pinched in the front on both sides. The creasing does not define the hat, however. Fedoras can also be creased with teardrop crowns, diamond crowns, center dents, and others, and the positioning of pinches can vary if they are found at all."
89,Disaster,Catastrophe,"This character becomes a victim of a [url=http://en.wikipedia.org/wiki/Disaster]disaster[/url].\n\nA disaster is a natural or man-made hazard that has come to fruition, resulting in an event of substantial extent causing significant physical damage or destruction, loss of life, or drastic change to the environment. A disaster can be ostensively defined as any tragic event with great loss stemming from events such as earthquakes, floods, catastrophic accidents, fires, or explosions."
90,Assault,Attacked,"This character gets [url=http://en.wikipedia.org/wiki/Assault]assaulted[/url].\n\nAssault is a crime of violence against another person. The specific meaning of assault varies between countries, but can refer to an act that causes another to apprehend immediate and personal violence, or in the more limited sense of a threat of violence caused by an immediate show of force.\n\nAssault is often defined to include not only violence, but any intentional physical contact with another person without their consent.\n\nThis trait is intended to be used in situations that the victim can't or doesn't fight back, at least on an equal level to make the situation more of a fight then an attack. In the other case, please use the Fighting trait."
91,Amnesia,Memory Loss,"This character suffers from [url=http://en.wikipedia.org/wiki/Amnesia]amnesia[/url].\n\nAmnesia is a condition in which memory is disturbed or lost.\n\nThe causes of amnesia have traditionally been divided into categories. Functional causes are psychological factors, such as mental disorder, post-traumatic stress or, in psychoanalytic terms, defense mechanisms."
92,Sex Positions,,"These are the traits about [url=http://en.wikipedia.org/wiki/Sexual_positions]sex positions[/url]. These traits are for the penetrated partner(s). Traits for the penetrating partner(s) are under [url=/i1649]i1649[/url].\n\nSex positions are positions which people may adopt during or for the purpose of sexual intercourse or other sexual activities.\n\nThese traits may be applied not only to characters using these positions for vaginal sex, but also to characters using them for anal sex, pegging, tribadism (between lesbians), frot (between gays), or sex with a double ended dildo. Even though neither partner is penetrated in tribadism or frot, and both partners are penetrated in sex with a double ended dildo, use the matching traits under [url=/i43]Engages in (Sexual)[/url] > [url=/i1649]Sex Positions[/url] and [url=/i1625]Subject of (Sexual)[/url] > [url=/i92]Sex Positions[/url] to indicate which character was in which position."
93,Missionary,,"This character has sex in the [url=http://en.wikipedia.org/wiki/Sexual_positions#Penetrating_partner_on_top_with_front_entry]missionary[/url] position. Apply this trait to the penetrated partner and apply [url=/i1694]i1694[/url] to the penetrating partner.\n\nIn this position, the receiving partner lies on their back with their legs apart, while the penetrating partner lies, (or supports themselves) on top.\n\nThis is similar to some of the [url=https://vndb.org/i1700]butterfly[/url] positions except the penetrating partner's torso is closer to horizontal instead of vertical.\n\n[url=https://s.vndb.org/sf/71/84171.jpg]Example[/url]"
94,Doggy Style,,"This character has sex in the [url=http://en.wikipedia.org/wiki/Sex_positions#Penetrating_from_behind]doggy[/url] position. Apply this trait to the penetrated partner and apply [url=/i1692]i1692[/url] to the penetrating partner.\n\nIn this position, the receiving partner crouches on all fours (ie, on their hands and knees), while the penetrating partner kneels behind them. Alternatively, the receiving partner may angle their torso downwards and use their elbows, shoulders or chest for support instead of their hands. The penetrating partner may also hold one of the receiver's legs up.\n\nIn another variant (the [url=/i1327]Quickie Fix[/url] position), the receiving partner stands on their feet in a bent-over position, while the penetrating partner stands behind them.\n\n[url=https://s.vndb.org/sf/66/84166.jpg]Example 1[/url] - Receiving partner on all-fours\n[url=https://s.vndb.org/sf/67/84167.jpg]Example 2[/url] - Receiving partner angled downwards"
95,Cowgirl,Woman on Top\nCowboy Position\nJackhammer\nReceiving partner on Top\nHorse Riding Position\nHorse Mounting Position\n騎乗位,"This character has sex in the [url=http://en.wikipedia.org/wiki/Woman_on_top#Cowgirl_position]cowgirl[/url] position. Apply this trait to the penetrated partner and apply [url=/i1689]i1689[/url] to the penetrating partner.\n\nIn this position, the penetrating partner lies on their back, while the receiving partner straddles them, typically in a kneeling or squatting position, with their torso mostly upright. The participants face each other.\n\nUse the [url=/i1069]reverse cowgirl[/url] trait if the receiving partner faces away.\n\n[url=https://s.vndb.org/sf/87/14787.jpg]Example 1[/url], [url=https://s.vndb.org/sf/32/84132.jpg]Example 2[/url], [url=https://s.vndb.org/sf/33/84133.jpg]Example 3[/url] - Kneeling\n[url=https://s.vndb.org/sf/34/84134.jpg]Example 4[/url] - Squatting\n[url=https://s.vndb.org/sf/86/51786.jpg]Example 5[/url] - Neither kneeling or squatting"
97,Standing Sex,Stand and carry\nstand & carry\ndancer position\nslow dancing position,"This character has sex in a [url=http://en.wikipedia.org/wiki/Sex_positions#Standing]standing[/url] position. Apply this trait to the penetrated partner and apply [url=/i1698]i1698[/url] to the penetrating partner.\n\nThere are several different positions that may be considered ""standing"", but they all involve at least one participant standing on their feet, and both participants with their torso upright. The receiving partner may be penetrated from in front, or behind. In one variant, both participants stand upright, possibly leaning on a wall for support. In another variant, the penetrating partner carries the receiving partner.\n\n[url=https://s.vndb.org/sf/79/53779.jpg]Example 1[/url] - Both participants standing, one leaning on a glass wall. Similar to [url=/i1327]quickie fix[/url] except the receiving partner is more upright.\n[url=https://s.vndb.org/sf/09/84309.jpg]Example 2[/url], [url=https://s.vndb.org/sf/11/84311.jpg]Example 3[/url] - Receiving partner carried by penetrating partner, participants facing each other.\n[url=https://s.vndb.org/sf/10/84310.jpg]Example 4[/url] - Receiving partner carried by penetrating partner, participants facing away from each other."
98,Spoons,Spooning,"This character has sex in the [url=http://en.wikipedia.org/wiki/Spoons_sex_position]spoons[/url] position. Apply this trait to the penetrated partner and apply [url=/i1697]i1697[/url] to the penetrating partner.\n\nIn this position, the receiving partner lies on their side, while the penetrating partner also lies on their side, behind the receiving partner, facing the same direction. The participants may or may not press their upper bodies together.\n\n[url=https://s.vndb.org/sf/20/85320.jpg]Example[/url]"
99,Oral Sex,,"These are the traits about [url=http://en.wikipedia.org/wiki/Oral_sex]oral sex[/url]. These traits are for the performing partner(s). Traits for the receiving partner(s) are under [url=/i1634]i1634[/url].\n\nOral sex may or may not be penetrative, and is the term given to genital stimulation by the mouth. People may engage in oral sex as part of foreplay before intercourse, or as, during or following intercourse. It may also be performed for its own sake, and can be performed simultaneously."
100,Blowjob,Fellation\nFellatio\nBlow Job\nBJ\nGiving Head\nSucking Off,"This character performs [url=http://en.wikipedia.org/wiki/Fellatio]fellatio[/url]. Apply [url=/i1637]i1637[/url] to the receiving character.\n\nFellatio is the act of using the mouth, lips, and tongue to stimulate the penis. [url=/i101]Cunnilingus[/url] may be considered the equivalent trait for a female receiver."
101,Cunnilingus,Pussy Licking,"This character performs [url=http://en.wikipedia.org/wiki/Cunnilingus]cunnilingus[/url]. Apply [url=/i1636]i1636[/url] to the receiving character.\n\nCunnilingus is the act of using the mouth, lips and tongue to stimulate the female genitals. [url=/i100]Blowjob[/url] may be considered the equivalent trait for a male receiver."
102,Sixty-nine,69\nCongress of the Crow\nMutual Oral Sex\nReciprocal Oral Sex,"This character engages in the [url=http://en.wikipedia.org/wiki/69_%28sex_position%29]sixty-nine[/url] position.\n\nIn the sixty-nine position, two people position themselves so that each person's mouth is near the other's genitals, and simultaneously perform oral sex.\n\n[url=https://s.vndb.org/sf/04/7004.jpg][Example][/url]"
103,Anilingus,Anal–oral Sex\nRimming\nRim-job,This character performs [url=http://en.wikipedia.org/wiki/Anilingus]anilingus[/url]. Apply [url=/i1635]i1635[/url] to the receiving character.\n\nAnilingus is a form of oral sex involving contact between the anus or perineum of one person and the mouth of another.
104,Virgin Sex,Defloration,"This character has a sex scene where they lose their virginity.\n\nThe usual bleeding need not be shown, but then it must be mentioned in the game (or in a trusted source like the game's website) that this was the first time this character had sex.\n\nThis trait can be used for both male and female characters. Do not use it on characters that have sex with a virgin, but are not virgins themselves."
105,Group Sex,,"This character engages in [url=http://en.wikipedia.org/wiki/Group_sex]group sex[/url].\n\nGroup sex is sexual behavior involving more than two participants. Group sex can occur amongst people of all sexual orientations and genders.\n\nThe following traits are for the active or performing participant(s). Traits for the passive or receiving participant(s) are under [url=/i1625]Subject of (Sexual)[/url]>[url=/i1687]Group Sex[/url]. Traits under [url=/i2965]Group Sex Participants[/url] are an exception from this rule, as they don't have counterparts."
106,Sex with Others,,This character has a sex scene with someone other than the protagonist.\n\nDon't use this trait for group sex scenes that the protagonist is also a part of.
