vn_id,staff_id,position,note
14,5928,staff,"OP, True ED ""Bye-Bye Tears"", True ED ""Secret Zaurus"", True ED ""Kanashimi no Mukou he"" lyrics"
14,6061,staff,"ED ""Anata ga... Inai"" lyrics"
14,7671,music,"BGM, OP, True ED ""Bye-Bye Tears"", True ED ""Hello, My Happiness"" arrangement, True ED ""Kanashimi no Mukou he"" arrangement"
14,8016,music,"True ED ""Secret Zaurus"""
14,8811,scenario,Assistant Writer (School Days L×H)
14,8812,scenario,Assistant Writer (School Days L×H)
14,10574,music,"Insert Song ""Let Me Love You"""
14,12881,music,"Insert Song ""Let Me Love You"" arrangement"
14,13446,staff,Scripting (School Days LxH)
14,13526,staff,Scripting (School Days LxH)
14,16778,staff,Scripting (School Days LxH)
14,16784,staff,Program producer (School Days LxH)
14,16867,staff,Development producer (School Days LxH)
14,19769,staff,Programming (School Days LxH)
15,386,scenario,
15,386,music,
15,386,staff,Planning
15,429,chardesign,
15,429,art,
15,971,scenario,
15,984,music,
15,1390,music,
15,1390,staff,Executive producer
15,2168,music,
15,13583,staff,Graphics
15,13584,staff,Graphics
16,1392,scenario,Honami route
16,1880,songs,"OP ""Fuyu da yori"", ED ""Yakusoku ~resume~"""
16,1900,scenario,
16,2568,music,BGM
16,2750,scenario,Assistant writer
16,2750,staff,"Producer, production"
16,3395,staff,Production
16,3396,staff,Production
16,3522,chardesign,
16,3522,art,
16,5069,staff,Production
16,6077,director,
16,6077,staff,"Planning, production"
16,6102,art,SD
16,6103,scenario,Assistant writer
16,8814,staff,OP movie
17,385,art,"Character sprites, BG"
17,410,songs,"PSP OP ""It's a fine day"", PSP ED ""The Azure ~Ao no Kioku~"""
17,827,music,"PC OP, PC ED, PSP OP composition and lyrics"
17,827,staff,"Casting, sound producer"
17,1008,scenario,"Kid's common route, You's route"
17,1008,director,"DC, PS2, PC, senior director of PSP version"
17,1008,staff,"ED movie, PSP version TIPS director"
17,1012,scenario,"Main scenario, Coco's route"
17,1012,staff,"Original concept, scenario composition"
17,1017,music,BGM
17,1037,songs,"PC/PS2 ED ""Aqua Stripe"""
17,1038,songs,"PC/PS2 OP ""LeMU ~Haruka na Lemuria Tairiku~"""
17,2499,staff,Assistant producer (PSP)
17,2504,staff,"Producer, OP movie"
17,3060,staff,CG general supervision
17,3061,chardesign,
17,3061,art,
17,3072,scenario,"Tsugumi's route, Sora's route"
17,3072,director,Assistant director
17,3072,staff,"Scenario editing, script"
17,3073,scenario,Sara's route
17,3073,director,"PS2 (Premium Edition), English PC version"
17,3073,staff,System graphics
17,3355,music,"PSP ED ""The Azure ~Ao no Kioku~"" composition"
17,5184,music,PC OP arrangement
17,8090,staff,Voice work sound supervisor
17,8632,staff,"CG director, event CG coloring"
17,9004,art,"CG drawing assistant, character sprites, background mob character drawing,"
17,11548,staff,Producer (PSP)
17,11817,staff,Debug
17,13446,director,PSP
17,13446,staff,"Scripting, debugging"
17,13526,staff,Directing support (PSP)
17,15619,director,Assistant director
17,15619,staff,Scripting
17,15621,staff,"Event CG coloring, system graphics"
17,16389,art,
17,16389,staff,Event CG coloring
17,16390,staff,Executive producer
17,16778,staff,Scripting
17,16779,director,Assistant director
17,16779,staff,Scripting
17,16780,staff,System graphics (PSP)
17,16785,staff,Line producer (PSP)
17,16867,staff,Development control
17,17199,staff,Event CG coloring
17,18035,staff,Sales
17,19711,staff,"Programming (PS2, PSP)"
17,19768,staff,"Map/3D graphics, item graphics, title logo, OP movie, insert movies"
18,1455,scenario,"PS, PSE and PS2 versions"
18,1460,scenario,"Kotone, Shiho, Lemmy and Rio routes"
18,1462,scenario,
18,1462,staff,"Planning, scenario composition"
18,1463,chardesign,
18,1463,art,
18,1463,staff,Scenario composition
18,2170,music,
18,2184,music,
18,2198,music,
18,2198,staff,Producer
18,2575,chardesign,
18,2575,art,"Kotone, Shiho, Lemmy and Rio"
18,7489,songs,"OP ""Brand-new Heart"" and ED ""Atarashii Yokan"""
18,13479,staff,Graphics
18,15074,scenario,
19,4447,scenario,Additional scenario (~forever with you~ ver.)
19,5125,songs,"OP ""Tokimeki"", EDs ""Futari no Toki"", ""Motto Koi Shiyou"""
19,9899,music,
19,12607,staff,Game design
19,15083,staff,OP animation (~forever with you~ ver.)
19,17534,director,
19,17536,scenario,
19,17537,scenario,Assistant
19,17538,scenario,Assistant
19,17539,art,
19,17542,music,
19,17543,music,
19,17545,music,
19,17547,music,
20,601,songs,"Insert song ""Hoshi no Uta"""
20,744,chardesign,"Yuuki, Sango, Ruri"
20,744,art,
20,745,chardesign,"Konomi, Yuma, Harumi, Chie, Michiru, Mio"
20,745,art,
20,962,songs,"PSP & PS3 OP ""Heart to Heart"", PS3 ED ""Cosmos no you ni"""
20,1901,scenario,"Sango, Ruri, Lucy, Sasara routes"
20,1902,scenario,"Yuma, Manaka, Mio routes"
20,1903,scenario,"Konomi, Tamaki routes"
20,1904,scenario,"Karin, Yuuki routes"
20,1904,music,Insert song composition & lyrics
20,2170,music,
20,2182,music,
20,2184,music,PS2 & PC OP composition & arrangement
20,2198,music,
20,2572,chardesign,"Karin, Lucy, Nanako, Sasara, Maaryan"
20,2572,art,
20,2864,chardesign,"Tamaki, Manaka, Ikuno, Yuuji, Reona, Kaoruko, Kasumi, Daniel"
20,2864,art,
20,3022,staff,OP movie animation director
20,7489,songs,"PS2 & PC ED ""Arigatou"""
20,8196,staff,"PS2 & PC OP, PS2 & PC ED lyrics"
20,8199,music,Insert song arrangement
20,8843,songs,"PS2 & PC OP ""Heart to Heart"""
20,13193,director,
20,15083,staff,OP animation
20,15799,art,Mob characters
21,744,chardesign,"Touko, Shinobu and Maho"
21,744,art,
21,745,chardesign,Yukio and Asuna
21,745,art,
21,1901,scenario,
21,1901,staff,Planning
21,2170,music,BGM
21,2182,music,BGM
21,2184,music,"OP, BGM"
21,2198,music,"ED, BGM"
21,7489,songs,"ED ""Hitori"""
21,8196,staff,OP Lyrics
21,13193,director,
21,15122,songs,"OP ""I hope so..."""
22,185,music,"OP, Shirohane ED Lyrics"
22,185,songs,"OP ""Alea jacta est!"", Shirohane ED ""it's just farewell"", An' call Belle OP ""Life goes on."""
22,381,scenario,
22,381,director,
22,381,staff,"Scenario composition, script"
22,506,music,"OP, Shirohane ED, SE"
22,1668,chardesign,
22,1668,art,
22,1668,staff,"Planning, original concept, CG colouring, BG"
22,2487,staff,Script
22,3200,staff,"Script, debug (2016 ver.)"
22,3613,staff,Script
22,4163,staff,Movie
22,4207,staff,OP movie
22,4816,staff,Script
22,5834,art,"Assistant artist, CG support"
22,8761,scenario,Assistant Writer
22,11100,songs,"Kurohane ED ""Memories are here"""
22,13494,staff,"BG, CG colouring"
22,13497,director,
22,13497,staff,"Graphics supervision, CG colouring, BG, movie"
22,13498,staff,"Script, producer, debug (2016 ver.)"
23,64,songs,"PC First OP ""Ano Kumo no Mukou he"", PS2 First OP ""Hoshizora no Sakamichi"")"
23,64,staff,PC First OP lyrics
23,362,scenario,
23,362,director,
23,454,music,"PC Second OP lyrics, PS2 Second OP composition & lyrics"
23,454,songs,"PC Second OP ""SHOOTING STAR"", PS2 Second OP ""SHINING STAR"""
23,2928,chardesign,
23,2928,art,
23,3462,music,PS2 Second OP arrangement
23,4616,music,"BGM, PC ED"
23,4997,staff,PS2 ED lyrics
23,5011,music,PS2 ED
23,5155,songs,"PC ED ""Todoku Kokoro, Dakishimete."", PS2 ED ""Hoshizora e no Monologue"""
23,5585,staff,Movie
23,5743,staff,Movie
23,6740,staff,Producer
23,7456,staff,PC ED lyrics
23,8583,music,BGM
23,14286,music,PS2 First OP arrangement
23,26033,staff,PS2 First OP lyrics
24,26,scenario,
24,26,chardesign,
24,26,director,
24,26,art,
24,104,songs,"Insert song ""Happy Maria Uta"""
24,515,music,
24,516,music,
24,760,music,
24,809,music,"OP composition, arrangement"
24,809,songs,"OP ""Umineko no Naku Koro ni"""
24,827,music,"PS4/SW OP ""Kasaneawase no Nekobako"""
24,1393,staff,OP lyrics
24,1658,music,
24,3066,songs,"PS3 & PSP OP ""Senkyou no Igureeja"""
24,4163,staff,PS3 & PSP OP movie
24,6925,music,
24,6926,music,
24,7070,music,
24,7072,music,
24,7152,music,
24,8814,staff,OP movie
24,11834,music,
24,20524,songs,"PS4/SW OP ""Kasaneawase no Nekobako"""
25,1503,scenario,
25,1503,chardesign,
25,1503,director,
25,1503,art,
25,1505,chardesign,
25,1505,art,
25,1510,scenario,
25,2236,music,
25,2617,songs,"OP ""Suna no Shiro"", ED ""Yoru no Namida, Ashita no Omoi"", ED ""Mikazuki"""
25,5796,chardesign,Ayakashi design
25,5796,art,
25,5799,scenario,
25,13452,staff,OP movie
26,1747,scenario,Assistant writer
26,2242,music,
26,2774,songs,"OP ""Seinarukana"", ED ""Orichalcum no Na no Moto ni"""
26,3250,staff,Scenario cooperation
26,4324,art,
26,5669,scenario,
26,7452,scenario,
26,7452,staff,"Planning, Game design"
26,7454,art,
26,8178,music,"OP, ED, Insert song ""Eien no Aselia -Seinaru Arrange-"
26,8288,staff,Scenario cooperation
27,827,music,"OP composition, lyrics"
27,1017,music,BGM
27,1038,songs,"OP ""Separate Hearts"""
27,1908,scenario,
27,2504,staff,Producer
27,5184,music,OP arrangement
27,8069,chardesign,
27,8069,art,
27,11548,scenario,
28,370,staff,Production
28,431,staff,Special thanks
28,694,songs,"Insert song ""In the Sky"", Essence ED ""Selection."""
28,1691,songs,"OP ""Mirage Lullaby"", ED ""SCRAMBLE!"", PS2 OP ""ORIGINAL!"" Essence OP ""Link-age"", ED ""Summer Again"""
28,1866,staff,Special thanks
28,1905,scenario,
28,1905,staff,Planning
28,1956,staff,Special thanks
28,2250,chardesign,"Nerine, Asa, Kareha, Nadeshiko, Tsubomi, Seji, Cineraria, male characters"
28,2250,art,
28,2260,music,
28,2261,music,
28,2500,chardesign,"Lisianthus, Kaede, Primula, Mayumi, Sakura, Daisy, Matsuri, Erika and others"
28,2500,art,
28,3913,staff,Special thanks
28,5815,staff,Special thanks
28,6089,staff,OP movie
28,13608,scenario,
28,13609,staff,Special thanks
29,325,chardesign,
29,325,art,
29,330,scenario,
29,333,music,
29,336,music,
29,6311,director,
29,8624,music,
30,140,songs,"OP ""Wolf"""
30,1582,chardesign,Original Plan
30,4208,staff,Demo and OP movie
30,4900,chardesign,
30,4900,art,
30,17339,music,
32,742,songs,"OP ""Went Away"""
32,1022,music,
32,1184,art,
32,1185,music,
32,1186,songs,"ED ""Mirai kono hoshi de"""
32,2109,scenario,
33,386,scenario,"Makoto's, Mai's and Sayuri's routes"
33,386,music,
33,429,chardesign,
33,429,art,
33,429,staff,CG
33,971,scenario,"Ayu's, Shiori's and Nayuki's routes"
33,971,staff,Planning
33,984,music,
33,985,staff,Special thanks
33,2189,music,
33,6058,music,OP and ED arrangement
33,13286,songs,"OP ""Last regrets"", ED ""Kaze no Tadoritsuku Basho"""
33,13479,staff,System support
33,13583,staff,CG
33,13584,staff,CG
33,13586,staff,"CG, BG"
33,13589,staff,Event BG
34,430,staff,Graphics
34,982,scenario,
34,982,staff,Planning
34,984,music,
34,985,music,
34,2348,songs,"ED ""Song of the Rotation of the Spheres"""
34,6067,staff,Special thanks
34,6806,chardesign,
34,6806,staff,"Mechanic design, CG supervision"
34,9153,staff,Executive producer
34,13479,staff,Programming
34,13586,staff,"Graphics, BG"
35,978,staff,Colouring
35,2089,scenario,
35,2440,art,
35,2642,songs,"DC/PS2 OP/Kasumi ED ""Flow"""
35,2648,chardesign,
35,2648,art,
35,2648,staff,Colouring
35,2649,music,BGM
35,6089,staff,Movie
35,6458,music,"PC OP, PC ED, insert song"
35,6460,staff,"PC OP, PC ED, insert song lyrics"
35,7381,music,DC/PS2 OP/Kasumi ED
35,7381,staff,DC/PS2 OP/Kasumi ED lyrics
35,9562,director,
35,9562,staff,"Planning, design"
35,12044,staff,OP director
35,12054,scenario,
35,12054,staff,Script
35,15069,staff,Producer
35,16887,songs,"PC OP ""Wind"", insert song ""Dream"""
35,17195,songs,"ED ""Tsubasa"""
36,386,scenario,"Misuzu, Minagi True End and AIR scenarios"
36,386,music,
36,386,staff,Planning
36,429,chardesign,
36,429,art,
36,430,staff,CG
36,769,songs,"OP ""Tori no Uta"", ED ""Farewell Song"", Insert Song ""Aozora"""
36,982,scenario,Summer and Natsuzora no Shou (Vita) scenarios
36,984,music,
36,985,music,
36,2045,scenario,Kano's route
36,5369,scenario,Minagi's route final parts
36,6058,music,OP Arrangement
36,9153,staff,Executive producer
36,13479,staff,Programming
36,13583,staff,CG
36,13584,staff,CG
36,13585,staff,BG
36,13586,staff,BG
36,13587,scenario,Minagi's route final parts
36,13588,scenario,Assistant writer
37,376,scenario,
37,376,staff,"Original concept, Planning"
37,539,scenario,Assistant Writer
37,541,scenario,
37,741,art,
37,1447,scenario,Assistant Writer
37,1448,scenario,Assistant Writer
37,1969,music,
37,2568,music,
38,830,songs,"Insert Song ""Himitsu"", Torta ED ""Itsudemo Hohoemi o"""
38,1037,songs,"Insert Song ""I'm always close to you"", Insert Song ""Fay"""
38,2485,scenario,
38,6435,art,"Art direction, character design"
38,8855,music,
38,8855,songs,"OP ""The Other Side of the Sky"", Phorni ED ""Even When Crying"""
38,14650,scenario,
38,25936,art,Backgrounds
39,9917,scenario,
39,9918,scenario,
40,9917,staff,Assistance
40,9918,scenario,
40,9918,staff,Planning
41,719,songs,"OP ""SHINE"""
41,1806,music,
41,3086,art,
41,24254,scenario,
42,1202,songs,"OP ""Namikimichi no Egao"" and ED ""Koi no Highlight"""
42,1666,art,
42,2154,music,
42,4710,scenario,
42,4710,staff,Game system assistance
43,438,songs,"X Change R theme song ""Onetsu na Chikyuu ☆"""
43,546,scenario,
43,6855,chardesign,
43,6855,art,
43,6856,music,X Change R theme song
43,6862,scenario,Additional scenario for R version
44,3,staff,"Original concept, planning"
44,170,scenario,Aeka route (Uncredited)
44,170,staff,Text revision and supervision (Uncredited)
44,202,songs,"OP ""Sekai ni Sayonara"""
44,436,art,
44,540,scenario,Uncredited
44,1827,music,
44,4459,director,
44,4459,staff,Scenario supervision
44,7438,scenario,Uncredited
45,1,scenario,
45,1,director,Integration
45,1,staff,"Scenario supervision (PS2), supervision, voice supervision (remake)"
45,313,music,
45,388,songs,"Kuroi Hitomi no Aria ""Sie Null"" ED ""DON'T LET GO"" [Remake]"
45,1271,staff,"2D graphics direction, layout"
45,1281,art,PS2 version/Phantom Integration
45,1281,staff,Colouring (PS2)
45,2119,staff,"Producer, layout, sound effects supervisor"
45,2158,music,
45,2853,scenario,PS2
45,5184,music,
45,5489,staff,2D graphics (Integration)
45,5550,staff,Planning (remake)
45,5797,staff,2D graphics
45,6089,staff,Movie (PS2)
45,7276,music,
45,7687,staff,Planning assistance (remake)
45,8153,music,
45,12927,director,Remake
45,13446,staff,Scripting (remake)
45,13526,director,Development director (remake)
45,14437,staff,Scripting (remake)
45,15112,director,PS2
45,15112,staff,3D graphics and movie (PS2)
45,15627,scenario,PS2
45,15628,scenario,PS2
45,15629,chardesign,
45,15629,art,"Original, PS2 and Integration"
45,15686,scenario,Remake
45,15688,scenario,Remake
45,15689,scenario,Remake
45,15689,staff,Planning assistance (remake)
45,16185,staff,2D graphics
45,16783,staff,Sound direction (remake)
45,16785,staff,Development management (remake)
45,17876,staff,2D graphics (Integration)
45,19712,staff,Scripting (remake)
45,19769,staff,Programming (remake)
46,4,scenario,Misc. writing
46,170,scenario,
46,541,scenario,Misc. writing
46,1448,scenario,Misc. writing
46,1844,music,
46,3872,chardesign,
46,3872,art,
46,4876,scenario,Misc. writing
46,7438,scenario,
47,2,scenario,
47,2,director,
47,2,staff,"Planning, original concept, game composition, programming"
47,142,chardesign,
47,142,art,
47,142,staff,"Planning, development supervision, CG"
47,978,art,Guest artist
47,978,staff,Event CG
47,1453,scenario,"Drinking, Dreaming Moon"
47,1550,music,
47,2648,art,Guest artist
47,3641,art,Guest artist
47,4325,staff,Special thanks
47,15071,scenario,Reimei
47,15072,scenario,"Hisui-chan, Hanten Shoudou!"
47,15073,scenario,
48,4000,music,
49,2,scenario,
49,142,chardesign,
49,142,art,
50,2,scenario,Main story segments
50,2,director,Main Director
50,2,staff,"Planning, original concept, game composition"
50,4,scenario,PSVita version
50,142,chardesign,
50,142,art,
50,142,staff,Planning
50,376,scenario,"Assistant writer, uncredited"
50,978,art,"Graphics supervision, graphics"
50,1542,music,Sound effect
50,1543,music,BGM
50,1549,music,BGM
50,1568,songs,"Original 1st OP ""Ataraxia"", 2nd OP ""hollow"", ED ""our future"""
50,1907,scenario,
50,2484,scenario,Assistant writer (H-scenes)
50,12277,songs,"PSVita 1st OP ""broKen NIGHT"", 2nd OP ""holLow wORlD"", ED ""Open The Doors"""
50,15384,staff,Animation of both PSVita Openings
50,25978,staff,Original version producer
51,386,scenario,"Mizuka, Rumi and Mayu's routes"
51,386,staff,Planning
51,429,chardesign,
51,429,art,
51,429,staff,Graphics
51,971,scenario,"Misaki's, Mio's and Akane's routes"
51,984,music,
51,1390,music,
51,1390,staff,Executive producer
51,2067,staff,Planning (PS1)
51,2189,music,
51,2504,director,PS1
51,7097,music,
51,7098,music,
51,13583,staff,Graphics
51,13584,staff,Graphics
51,13589,staff,BG
51,13590,scenario,Natsuki's route (PS1)
51,13591,staff,Planning assistance
51,15450,staff,Programming assistant (PS1)
51,15619,staff,Test play (PS1)
51,16390,staff,Executive producer (PS1)
53,521,scenario,
53,2966,music,
53,10855,staff,"Polishing, script editing"
54,1880,songs,"OP ""Mou Ichido Dake"""
54,2628,scenario,
54,4710,scenario,
54,6809,chardesign,
54,6809,art,
55,1785,music,
